freq,int_so2,int_h2o,int_d2o
7170.6176,0.0002,0.0000,0.0000
7170.6653,0.0001,0.0001,0.0000
7187.4976,0.0005,0.0004,0.0004
7195.7469,0.0046,0.0000,0.0000
7201.3497,0.0047,0.0000,0.0000
7202.1127,0.0000,0.0000,0.0000
7205.3909,0.0060,0.0008,0.0008
7206.3327,0.0001,0.0000,0.0000
7207.1195,0.0013,0.0001,0.0001
7207.1672,0.0007,0.0001,0.0001
7210.1116,0.0004,0.0001,0.0001
7213.5925,0.0001,0.0000,0.0000
7214.9277,0.0002,0.0000,0.0000
7219.1238,0.0003,0.0001,0.0000
7223.8565,0.0001,0.0000,0.0000
7228.3506,0.0062,0.0010,0.0010
7234.1681,0.0001,0.0000,0.0000
7237.4582,0.0001,0.0000,0.0000
7237.5059,0.0002,0.0000,0.0000
7240.4265,0.0024,0.0002,0.0002
7240.8557,0.0000,0.0000,0.0000
7249.8083,0.0000,0.0000,0.0000
7250.7977,0.0001,0.0000,0.0000
7259.1662,0.0000,0.0000,0.0000
7259.1782,0.0000,0.0000,0.0000
7260.3702,0.0002,0.0000,0.0000
7260.6921,0.0003,0.0000,0.0000
7260.9901,0.0004,0.0000,0.0000
7264.3638,0.0007,0.0001,0.0001
7264.3757,0.0007,0.0001,0.0001
7266.5691,0.0001,0.0000,0.0000
7268.4407,0.0023,0.0010,0.0010
7272.3508,0.0007,0.0001,0.0001
7278.8000,0.0003,0.0000,0.0000
7279.3841,0.0065,0.0000,0.0000
7287.4188,0.0000,0.0000,0.0000
7287.4308,0.0000,0.0000,0.0000
7288.0387,0.0000,0.0000,0.0000
7288.2175,0.0005,0.0001,0.0001
7288.2295,0.0005,0.0001,0.0001
7289.6004,0.0010,0.0000,0.0000
7289.6838,0.0001,0.0000,0.0000
7290.1249,0.0006,0.0001,0.0001
7290.1368,0.0005,0.0001,0.0001
7290.4825,0.0119,0.0023,0.0022
7291.9011,0.0011,0.0001,0.0001
7293.8681,0.0000,0.0000,0.0000
7303.8817,0.0001,0.0000,0.0000
7309.5799,0.0003,0.0000,0.0001
7317.6980,0.0001,0.0000,0.0000
7317.8410,0.0001,0.0000,0.0000
7317.8887,0.0002,0.0000,0.0000
7317.9364,0.0002,0.0000,0.0000
7317.9841,0.0003,0.0000,0.0000
7318.1391,0.0783,0.0148,0.0149
7318.2941,0.0003,0.0000,0.0000
7318.3298,0.0002,0.0000,0.0000
7318.4252,0.0001,0.0000,0.0000
7318.5682,0.0001,0.0000,0.0000
7318.5801,0.0001,0.0000,0.0000
7318.7232,0.0001,0.0000,0.0000
7318.7351,0.0000,0.0000,0.0000
7319.2120,0.0000,0.0000,0.0000
7319.4146,0.0000,0.0000,0.0000
7324.6360,0.0000,0.0000,0.0000
7325.4347,0.0004,0.0000,0.0001
7326.2930,0.0042,0.0006,0.0006
7347.0950,0.0004,0.0001,0.0001
7347.1785,0.0003,0.0001,0.0001
7347.4169,0.0008,0.0002,0.0002
7347.4288,0.0008,0.0002,0.0002
7357.0371,0.0000,0.0000,0.0000
7365.6082,0.0003,0.0000,0.0000
7365.7274,0.0002,0.0000,0.0000
7366.3473,0.0000,0.0000,0.0000
7368.7434,0.0009,0.0002,0.0002
7377.2550,0.0000,0.0000,0.0000
7377.7795,0.0043,0.0007,0.0007
7404.0413,0.0000,0.0000,0.0002
7404.3393,0.0000,0.0000,0.0000
7405.2453,0.0001,0.0000,0.0000
7405.3645,0.0119,0.0007,0.0007
7405.3764,0.0117,0.0007,0.0007
7405.5791,0.0001,0.0000,0.0000
7405.6268,0.0001,0.0000,0.0000
7405.6864,0.0001,0.0000,0.0000
7405.7341,0.0002,0.0000,0.0000
7405.8175,0.0002,0.0000,0.0000
7405.8652,0.0003,0.0000,0.0000
7405.9129,0.0005,0.0001,0.0001
7406.0679,0.1335,0.0260,0.0241
7406.0798,0.1278,0.0265,0.0245
7406.2228,0.0005,0.0001,0.0001
7406.2347,0.0003,0.0001,0.0001
7406.3063,0.0002,0.0000,0.0000
7406.3539,0.0002,0.0000,0.0000
7406.4016,0.0002,0.0000,0.0000
7406.4493,0.0001,0.0000,0.0000
7406.5566,0.0001,0.0000,0.0000
7406.6520,0.0001,0.0000,0.0000
7406.6997,0.0001,0.0000,0.0000
7407.7129,0.0114,0.0008,0.0008
7414.4363,0.0018,0.0002,0.0002
7415.3185,0.0000,0.0000,0.0000
7436.0132,0.0002,0.0001,0.0001
7436.1682,0.0000,0.0000,0.0000
7436.2874,0.0002,0.0000,0.0000
7451.2243,0.0001,0.0000,0.0000
7454.2046,0.0001,0.0000,0.0000
7482.2783,0.0085,0.0042,0.0036
7494.3185,0.0000,0.0000,0.0000
7496.3093,0.0001,0.0000,0.0000
7496.4047,0.0002,0.0000,0.0000
7496.4404,0.0003,0.0000,0.0000
7496.5596,0.0549,0.0079,0.0072
7496.7146,0.0002,0.0000,0.0000
7496.7265,0.0001,0.0000,0.0000
7496.9411,0.0001,0.0000,0.0000
7496.9888,0.0000,0.0000,0.0000
7497.0365,0.0000,0.0000,0.0000
7595.0742,0.0007,0.0003,0.0003
7640.9221,0.0000,0.0000,0.0000
7645.5832,0.0037,0.0027,0.0023
7659.8883,0.0007,0.0002,0.0001
7734.2033,0.0007,0.0000,0.0000
7753.7894,0.0000,0.0000,0.0000
7755.5060,0.0001,0.0000,0.0000
7770.9913,0.0013,0.0001,0.0001
7826.3760,0.0001,0.0000,0.0000
7866.2157,0.0001,0.0000,0.0000
7866.2276,0.0001,0.0000,0.0000
7870.0185,0.0003,0.0000,0.0000
7882.5235,0.0001,0.0000,0.0000
7885.5395,0.0006,0.0000,0.0000
7886.1237,0.0006,0.0000,0.0000
7886.1356,0.0005,0.0000,0.0000
7888.7105,0.0003,0.0001,0.0001
7934.1650,0.0000,0.0000,0.0000
7934.1888,0.0000,0.0000,0.0000
7945.2515,0.0000,0.0000,0.0000
7948.3271,0.0003,0.0001,0.0000
7949.2211,0.0004,0.0000,0.0000
7949.2569,0.0005,0.0000,0.0000
7950.1748,0.0004,0.0000,0.0000
7950.1867,0.0004,0.0000,0.0000
7959.8308,0.0002,0.0000,0.0000
7970.6788,0.0009,0.0001,0.0002
7972.8842,0.0001,0.0000,0.0000
