freq,int_so2,int_h2o,int_d2o
4048.6097,0.0001,0.0000,0.0000
4075.6583,0.0001,0.0001,0.0001
4193.1391,0.0002,0.0000,0.0000
4251.3251,0.0011,0.0000,0.0000
4277.6823,0.0000,0.0000,0.0000
4281.0798,0.0001,0.0001,0.0001
4282.9633,0.0001,0.0000,0.0001
4282.9752,0.0001,0.0000,0.0001
4294.3954,0.0045,0.0002,0.0002
4308.8079,0.0001,0.0001,0.0001
4309.1655,0.0012,0.0009,0.0009
4309.1774,0.0012,0.0010,0.0009
4326.5939,0.0002,0.0001,0.0001
4370.8682,0.0000,0.0000,0.0000
4370.8801,0.0000,0.0000,0.0000
4403.0786,0.0000,0.0000,0.0000
4420.8407,0.0001,0.0000,0.0000
4420.8765,0.0001,0.0000,0.0000
4440.4626,0.0000,0.0000,0.0000
4442.9183,0.0000,0.0000,0.0000
4444.3130,0.0000,0.0000,0.0000
4444.3369,0.0000,0.0000,0.0000
4460.8235,0.0027,0.0001,0.0001
4467.9761,0.0000,0.0000,0.0000
4477.8228,0.0018,0.0001,0.0001
4477.8347,0.0018,0.0001,0.0001
4478.1327,0.0019,0.0001,0.0001
4483.1634,0.0000,0.0000,0.0000
4493.0577,0.0002,0.0001,0.0001
4502.2130,0.0000,0.0000,0.0000
4503.5362,0.0026,0.0001,0.0001
4504.2038,0.0000,0.0000,0.0000
4515.3618,0.0000,0.0000,0.0000
4521.7037,0.0001,0.0000,0.0000
4522.0375,0.0000,0.0000,0.0000
4528.9040,0.0000,0.0000,0.0000
4556.0837,0.0023,0.0014,0.0013
4573.4525,0.0016,0.0000,0.0000
4576.4446,0.0001,0.0000,0.0000
4578.6738,0.0001,0.0000,0.0000
4612.9465,0.0001,0.0000,0.0000
4618.9904,0.0002,0.0000,0.0000
4635.8108,0.0003,0.0002,0.0002
4646.1582,0.0001,0.0000,0.0000
4653.0604,0.0004,0.0001,0.0001
4653.0843,0.0005,0.0001,0.0001
4653.7399,0.0005,0.0001,0.0001
4657.3877,0.0011,0.0000,0.0000
4662.9787,0.0002,0.0002,0.0002
4668.4742,0.0009,0.0000,0.0000
4668.4861,0.0009,0.0000,0.0000
4683.4230,0.0000,0.0000,0.0000
4687.5000,0.0012,0.0007,0.0003
4704.0582,0.0003,0.0001,0.0001
4704.4635,0.0003,0.0001,0.0001
4704.4754,0.0003,0.0001,0.0001
4713.9168,0.0001,0.0000,0.0000
4719.9726,0.0005,0.0004,0.0004
4719.9845,0.0005,0.0004,0.0004
4730.3915,0.0000,0.0000,0.0000
4783.8569,0.0007,0.0000,0.0000
4800.0813,0.0001,0.0000,0.0000
4805.7556,0.0002,0.0001,0.0001
4806.2682,0.0003,0.0000,0.0000
4806.2801,0.0002,0.0000,0.0000
4807.1861,0.0002,0.0000,0.0000
4837.6203,0.0000,0.0000,0.0000
4837.6322,0.0000,0.0000,0.0000
4853.5109,0.0002,0.0001,0.0002
4853.5705,0.0004,0.0003,0.0001
4853.6062,0.0003,0.0002,0.0001
4858.7322,0.0001,0.0001,0.0001
4862.6423,0.0001,0.0001,0.0001
4873.7168,0.0000,0.0000,0.0000
4884.7556,0.0009,0.0005,0.0006
4884.8033,0.0006,0.0004,0.0008
4906.9881,0.0004,0.0001,0.0001
4907.9537,0.0004,0.0001,0.0001
4908.5617,0.0007,0.0000,0.0000
4923.6298,0.0001,0.0000,0.0000
4958.3197,0.0000,0.0000,0.0000
4958.3316,0.0000,0.0000,0.0000
4984.5457,0.0004,0.0002,0.0002
4993.6414,0.0006,0.0001,0.0001
4994.1301,0.0007,0.0001,0.0001
4994.8096,0.0039,0.0001,0.0001
4998.9462,0.0001,0.0000,0.0000
4999.9952,0.0002,0.0001,0.0001
5030.0479,0.0007,0.0005,0.0004
5053.8898,0.0002,0.0000,0.0005
5068.5883,0.0000,0.0000,0.0000
5077.6601,0.0034,0.0009,0.0008
5092.2155,0.0000,0.0000,0.0000
5092.4540,0.0001,0.0000,0.0000
5129.0870,0.0001,0.0000,0.0000
5130.3625,0.0002,0.0000,0.0000
5145.0133,0.0001,0.0000,0.0000
5147.6121,0.0000,0.0000,0.0000
5154.4190,0.0000,0.0000,0.0000
5154.4309,0.0000,0.0000,0.0000
5156.6362,0.0000,0.0000,0.0000
5170.6672,0.0003,0.0000,0.0000
5170.6791,0.0003,0.0000,0.0000
5177.8436,0.0010,0.0001,0.0000
5178.2608,0.0011,0.0000,0.0000
5178.2846,0.0009,0.0000,0.0000
5178.3562,0.0010,0.0000,0.0000
5184.1259,0.0017,0.0000,0.0000
5191.7911,0.0000,0.0000,0.0000
5216.0740,0.0001,0.0000,0.0000
5216.0859,0.0001,0.0000,0.0000
5249.6791,0.0018,0.0000,0.0000
5258.6436,0.0000,0.0000,0.0000
5312.5024,0.0006,0.0003,0.0005
5316.4005,0.0003,0.0002,0.0002
5318.4152,0.0001,0.0000,0.0000
5318.4271,0.0001,0.0000,0.0000
5318.5463,0.0001,0.0000,0.0000
5345.7379,0.0001,0.0000,0.0000
5350.3871,0.0002,0.0000,0.0000
5358.0642,0.0001,0.0000,0.0000
5361.6643,0.0035,0.0000,0.0000
5363.2140,0.0034,0.0000,0.0000
5363.2259,0.0033,0.0000,0.0000
5364.2631,0.0001,0.0000,0.0000
5364.2869,0.0000,0.0000,0.0000
5365.6101,0.0000,0.0000,0.0000
5367.4936,0.0002,0.0001,0.0000
5375.8502,0.0052,0.0001,0.0001
5379.7603,0.0004,0.0001,0.0001
5382.9670,0.0001,0.0000,0.0000
5383.0385,0.0000,0.0000,0.0000
5398.7026,0.0000,0.0000,0.0000
5398.8576,0.0056,0.0001,0.0001
5398.9172,0.0025,0.0001,0.0000
5404.4128,0.0043,0.0010,0.0010
5406.6539,0.0000,0.0000,0.0000
5408.6447,0.0003,0.0001,0.0001
5411.6368,0.0001,0.0000,0.0000
5421.0305,0.0001,0.0001,0.0000
5425.7512,0.0019,0.0000,0.0000
5430.3885,0.0001,0.0000,0.0000
5430.6984,0.0016,0.0002,0.0002
5434.1793,0.0000,0.0000,0.0000
5445.6353,0.0001,0.0000,0.0000
5445.8618,0.0000,0.0000,0.0000
5446.2910,0.0002,0.0000,0.0001
5458.5695,0.0000,0.0000,0.0000
5458.5814,0.0000,0.0000,0.0000
5459.5113,0.0001,0.0000,0.0000
5459.5351,0.0001,0.0000,0.0000
5466.5208,0.0002,0.0001,0.0001
5466.5327,0.0002,0.0001,0.0001
5468.7262,0.0000,0.0000,0.0000
5468.8454,0.0041,0.0029,0.0028
5471.8018,0.0001,0.0000,0.0000
5474.8416,0.0000,0.0000,0.0000
5475.1992,0.0000,0.0000,0.0000
5475.3423,0.0000,0.0000,0.0000
5475.6999,0.0000,0.0000,0.0000
5483.3174,0.0000,0.0000,0.0000
5483.3293,0.0000,0.0000,0.0000
5483.4247,0.0001,0.0001,0.0001
5487.8473,0.0000,0.0000,0.0000
5488.3838,0.0000,0.0000,0.0000
5488.5745,0.0001,0.0000,0.0000
5488.6222,0.0001,0.0000,0.0000
5488.6699,0.0001,0.0000,0.0000
5488.7176,0.0002,0.0001,0.0001
5488.7533,0.0003,0.0001,0.0001
5488.8725,0.0486,0.0160,0.0155
5489.0275,0.0001,0.0000,0.0000
5489.1110,0.0001,0.0000,0.0000
5489.1586,0.0001,0.0000,0.0000
5489.2540,0.0001,0.0000,0.0000
5489.3494,0.0000,0.0000,0.0000
5489.5520,0.0000,0.0000,0.0000
5495.7271,0.0024,0.0008,0.0008
5498.4569,0.0001,0.0000,0.0000
5500.5789,0.0002,0.0001,0.0000
5508.8878,0.0001,0.0000,0.0000
5509.0308,0.0001,0.0000,0.0000
5509.4361,0.0000,0.0000,0.0000
5510.9501,0.0001,0.0000,0.0001
5511.6296,0.0005,0.0002,0.0002
5512.8694,0.0001,0.0000,0.0000
5512.8813,0.0001,0.0000,0.0000
5521.3809,0.0001,0.0000,0.0000
5521.6908,0.0001,0.0000,0.0000
5525.2075,0.0002,0.0001,0.0001
5527.4725,0.0004,0.0002,0.0002
5527.4844,0.0004,0.0002,0.0002
5531.7521,0.0000,0.0000,0.0000
5531.7760,0.0000,0.0000,0.0000
5533.5164,0.0012,0.0000,0.0000
5533.5283,0.0012,0.0000,0.0000
5533.7071,0.0019,0.0007,0.0007
5535.4238,0.0001,0.0000,0.0000
5547.0586,0.0000,0.0000,0.0000
5548.0242,0.0000,0.0000,0.0000
5548.0599,0.0001,0.0000,0.0000
5553.2813,0.0001,0.0000,0.0000
5554.0442,0.0000,0.0000,0.0000
5554.2231,0.0058,0.0002,0.0002
5554.2350,0.0057,0.0002,0.0002
5554.5926,0.0000,0.0000,0.0000
5554.7953,0.0000,0.0000,0.0000
5554.8430,0.0000,0.0000,0.0000
5554.9860,0.0001,0.0000,0.0000
5555.0814,0.0001,0.0000,0.0000
5555.1410,0.0001,0.0000,0.0000
5555.1887,0.0001,0.0000,0.0000
5555.2483,0.0001,0.0000,0.0000
5555.3556,0.0066,0.0002,0.0002
5555.4271,0.0014,0.0001,0.0001
5555.5224,0.0002,0.0001,0.0001
5555.5582,0.0004,0.0001,0.0001
5555.7251,0.1108,0.0428,0.0404
5555.8801,0.0004,0.0001,0.0001
5555.9635,0.0002,0.0001,0.0001
5555.9754,0.0002,0.0001,0.0001
5556.0589,0.0002,0.0000,0.0001
5556.1066,0.0001,0.0000,0.0000
5556.1542,0.0001,0.0000,0.0000
5556.2019,0.0001,0.0000,0.0000
5556.2496,0.0001,0.0000,0.0000
5556.3092,0.0001,0.0000,0.0000
5556.3569,0.0001,0.0000,0.0000
5556.4046,0.0001,0.0000,0.0000
5556.4523,0.0001,0.0000,0.0000
5556.5000,0.0001,0.0000,0.0000
5556.6549,0.0001,0.0000,0.0000
5556.7503,0.0001,0.0000,0.0000
5557.5490,0.0000,0.0000,0.0000
5561.2087,0.0013,0.0002,0.0002
5565.8698,0.0020,0.0000,0.0000
5574.1668,0.0000,0.0000,0.0000
5574.1787,0.0000,0.0000,0.0000
5577.0397,0.0001,0.0000,0.0000
5577.4808,0.0001,0.0000,0.0000
5577.7073,0.0002,0.0001,0.0000
5578.1007,0.0001,0.0000,0.0000
5579.7458,0.0001,0.0000,0.0000
5588.8057,0.0002,0.0001,0.0001
5591.2733,0.0001,0.0000,0.0000
5591.2852,0.0001,0.0000,0.0000
5592.7992,0.0000,0.0000,0.0000
5597.6868,0.0011,0.0006,0.0006
5601.9068,0.0000,0.0000,0.0000
5618.3696,0.0000,0.0000,0.0001
5619.4425,0.0001,0.0000,0.0000
5622.6492,0.0001,0.0000,0.0000
5622.7326,0.0001,0.0000,0.0000
5622.8161,0.0003,0.0001,0.0001
5622.9353,0.0443,0.0136,0.0135
5623.0903,0.0001,0.0000,0.0000
5623.1856,0.0001,0.0000,0.0000
5623.2333,0.0001,0.0000,0.0000
5624.9857,0.0001,0.0000,0.0000
5626.6785,0.0002,0.0001,0.0001
5634.7370,0.0000,0.0000,0.0000
5636.6444,0.0001,0.0000,0.0000
5652.5827,0.0004,0.0001,0.0001
5664.9566,0.0002,0.0000,0.0000
5664.9923,0.0003,0.0000,0.0000
5670.8098,0.0000,0.0000,0.0000
5695.2119,0.0075,0.0001,0.0001
5704.6890,0.0033,0.0011,0.0011
5722.1174,0.0001,0.0001,0.0004
5722.1293,0.0001,0.0001,0.0004
5727.8275,0.0001,0.0000,0.0000
5739.4028,0.0000,0.0000,0.0000
5752.7065,0.0000,0.0000,0.0000
5780.0770,0.0001,0.0001,0.0001
5788.1117,0.0001,0.0000,0.0000
5793.8099,0.0002,0.0000,0.0000
5795.0139,0.0015,0.0009,0.0008
5795.0258,0.0015,0.0010,0.0008
5826.9143,0.0003,0.0001,0.0001
5826.9262,0.0003,0.0001,0.0001
5831.8734,0.0000,0.0000,0.0000
5834.9609,0.0001,0.0000,0.0000
5839.8485,0.0014,0.0000,0.0000
5844.7838,0.0002,0.0001,0.0001
5877.6498,0.0001,0.0000,0.0000
5878.6631,0.0065,0.0001,0.0000
5900.4784,0.0000,0.0000,0.0000
5920.8870,0.0034,0.0012,0.0011
5934.3815,0.0000,0.0000,0.0000
5948.7224,0.0001,0.0000,0.0000
5948.7343,0.0001,0.0000,0.0000
5969.1906,0.0000,0.0000,0.0000
5970.0847,0.0001,0.0000,0.0000
5998.6353,0.0012,0.0006,0.0006
6012.6781,0.0003,0.0000,0.0001
6018.3287,0.0003,0.0001,0.0001
6018.4598,0.0002,0.0001,0.0000
6018.6624,0.0002,0.0000,0.0000
6018.7101,0.0001,0.0001,0.0000
6020.3075,0.0002,0.0000,0.0000
6020.3552,0.0001,0.0000,0.0000
6021.7023,0.0002,0.0001,0.0001
6022.0957,0.0009,0.0003,0.0004
6030.1542,0.0003,0.0000,0.0000
6030.1781,0.0003,0.0000,0.0001
6037.1041,0.0003,0.0000,0.0001
6040.9188,0.0006,0.0000,0.0001
6049.7522,0.0000,0.0000,0.0000
6061.2202,0.0001,0.0000,0.0000
6061.2321,0.0001,0.0000,0.0000
6062.3765,0.0028,0.0000,0.0000
6088.8529,0.0001,0.0000,0.0000
6090.2357,0.0000,0.0000,0.0000
6101.4652,0.0008,0.0001,0.0002
6108.6893,0.0000,0.0000,0.0000
6109.7622,0.0002,0.0001,0.0001
6119.5970,0.0020,0.0000,0.0000
6121.8977,0.0001,0.0001,0.0000
6124.2461,0.0006,0.0001,0.0001
6124.6633,0.0001,0.0000,0.0000
6133.4729,0.0002,0.0000,0.0000
6158.8407,0.0001,0.0000,0.0000
6159.1268,0.0000,0.0000,0.0000
6163.4302,0.0001,0.0000,0.0000
6176.1379,0.0014,0.0004,0.0007
6177.7473,0.0010,0.0002,0.0003
6205.8091,0.0000,0.0000,0.0000
6213.6412,0.0001,0.0001,0.0001
6215.5485,0.0012,0.0000,0.0001
6215.7631,0.0011,0.0000,0.0001
6227.6959,0.0000,0.0000,0.0000
6246.8290,0.0014,0.0000,0.0001
6247.4728,0.0012,0.0000,0.0001
