2000.01001,3.20455546e-06
2000.02193,3.16947676e-06
2000.03386,3.08751407e-06
2000.04578,2.89718184e-06
2000.0577,2.50593809e-06
2000.06962,1.85027499e-06
2000.08154,9.4611466e-07
2000.09346,1.15736469e-07
2000.10538,1.13541998e-06
2000.1173,1.97581704e-06
2000.12922,2.50918227e-06
2000.14114,2.71441713e-06
2000.15306,2.69717043e-06
2000.16499,2.68657519e-06
2000.17691,2.92291646e-06
2000.18883,3.44483392e-06
2000.20075,4.09030881e-06
2000.21267,4.67598368e-06
2000.22459,5.08029201e-06
2000.23651,5.24963024e-06
2000.24843,5.18828908e-06
2000.26035,4.94066367e-06
2000.27227,4.56149844e-06
2000.28419,4.07866015e-06
2000.29612,3.47169743e-06
2000.30804,2.69964256e-06
2000.31996,1.82404554e-06
2000.33188,1.4586463e-06
2000.3438,2.41200702e-06
2000.35572,3.8918753e-06
2000.36764,5.32053147e-06
2000.37956,6.42398437e-06
2000.39148,7.0486711e-06
2000.4034,7.1573354e-06
2000.41533,6.83437349e-06
2000.42725,6.26704283e-06
2000.43917,5.68679678e-06
2000.45109,5.26152301e-06
2000.46301,4.99172577e-06
2000.47493,4.73044192e-06
2000.48685,4.31530209e-06
2000.49877,3.66658213e-06
2000.51069,2.8007798e-06
2000.52261,1.79755306e-06
2000.53453,7.57923656e-07
2000.54646,3.47508943e-07
2000.55838,1.30600709e-06
2000.5703,2.2842414e-06
2000.58222,3.27563125e-06
2000.59414,4.26385796e-06
2000.60606,5.18742874e-06
2000.61798,5.95673393e-06
2000.6299,6.48524036e-06
2000.64182,6.72163872e-06
2000.65374,6.67567504e-06
2000.66566,6.42889237e-06
2000.67759,6.11530054e-06
2000.68951,5.85914665e-06
2000.70143,5.69448006e-06
2000.71335,5.54336511e-06
2000.72527,5.28480328e-06
2000.73719,4.84183764e-06
2000.74911,4.21971802e-06
2000.76103,3.4941147e-06
2000.77295,2.77349386e-06
2000.78487,2.15625305e-06
2000.79679,1.70172728e-06
2000.80872,1.44178996e-06
2000.82064,1.42890908e-06
2000.83256,1.70797718e-06
2000.84448,2.22595156e-06
2000.8564,2.8752855e-06
2000.86832,3.56623074e-06
2000.88024,4.25016043e-06
2000.89216,4.91796144e-06
2000.90408,5.5719778e-06
2000.916,6.18081425e-06
2000.92793,6.65598281e-06
2000.93985,6.88165523e-06
2000.95177,6.78847275e-06
2000.96369,6.43933383e-06
2000.97561,6.08512845e-06
2000.98753,6.09002347e-06
2000.99945,6.63053501e-06
2001.01137,7.50027816e-06
2001.02329,8.3378653e-06
2001.03521,8.87959092e-06
2001.04713,9.02253281e-06
2001.05906,8.79794343e-06
2001.07098,8.31933871e-06
2001.0829,7.72320912e-06
2001.09482,7.11342391e-06
2001.10674,6.52542466e-06
2001.11866,5.92666303e-06
2001.13058,5.25208815e-06
2001.1425,4.45104217e-06
2001.15442,3.52181751e-06
2001.16634,2.52906884e-06
2001.17826,1.62746988e-06
2001.19019,1.16186442e-06
2001.20211,1.43015307e-06
2001.21403,2.03645645e-06
2001.22595,2.73377137e-06
2001.23787,3.51043832e-06
2001.24979,4.36130482e-06
2001.26171,5.22919298e-06
2001.27363,6.02579567e-06
2001.28555,6.66634552e-06
2001.29747,7.0883115e-06
2001.30939,7.252249e-06
2001.32132,7.13450808e-06
2001.33324,6.72272709e-06
2001.34516,6.02012631e-06
2001.35708,5.0572676e-06
