-------- Hyperameters ---------
angular threshold 0.08
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.08
Min samples 2
-------- Variables ---------
population ranking 9
slope 4.609898383516206
intercept 0.0
r2 0.9411709152006847
arctan 1.357181405242501
n_points 78

x y
2.88262505e-05 1.71749192e-04
2.77783947e-05 1.77200901e-04
2.38242579e-05 1.12029207e-04
2.90538353e-05 1.51835019e-04
4.60654742e-05 2.08650314e-04
7.93251455e-05 5.02764957e-04
5.86578750e-05 2.65441725e-04
1.74257463e-04 7.19924806e-04
2.12859564e-04 9.57318154e-04
2.42753721e-05 1.26867880e-04
1.46051884e-04 6.76066922e-04
2.99021023e-05 1.13789733e-04
2.91787719e-05 1.35618143e-04
1.91966595e-04 1.13324976e-03
2.65264422e-04 1.10982494e-03
2.40876195e-04 9.36767055e-04
2.74008295e-05 1.03758877e-04
1.92600404e-04 8.77407479e-04
2.86800079e-05 1.21596822e-04
3.38689550e-05 1.54374603e-04
3.90681823e-05 1.92279844e-04
6.67896889e-05 2.44720907e-04
4.43034042e-05 1.90757976e-04
4.67318398e-05 1.88200841e-04
2.98457329e-05 1.59431590e-04
4.69082110e-05 2.00236801e-04
3.86872725e-05 1.82097490e-04
2.16406233e-05 7.88371420e-05
3.50340506e-05 2.23304489e-04
5.39271051e-05 2.77830018e-04
2.07210011e-05 7.53991328e-05
2.05109599e-05 8.55507057e-05
1.51012143e-04 9.27530699e-04
3.61827034e-05 1.31139666e-04
5.91881925e-05 3.38313256e-04
6.22070589e-05 3.26108054e-04
3.26599499e-05 1.83118170e-04
3.07729416e-05 1.85492839e-04
3.40854900e-05 1.83498484e-04
3.08741932e-04 1.29046723e-03
3.32195087e-05 1.73111745e-04
5.64207810e-05 3.05556119e-04
2.45083102e-05 1.15085431e-04
2.88219330e-05 1.24194464e-04
1.76422262e-04 7.00134347e-04
1.28633403e-04 6.71576211e-04
1.08768082e-04 6.34584874e-04
2.66761193e-05 1.13520273e-04
9.31581354e-05 4.32107869e-04
9.31352774e-05 3.57661210e-04
3.36686390e-04 1.42227198e-03
2.57676351e-05 1.15924997e-04
3.83561293e-04 1.45498940e-03
3.94309864e-04 1.44071334e-03
3.49396116e-04 1.65480831e-03
2.06736061e-04 1.19721932e-03
2.98448772e-05 1.21371305e-04
2.44118707e-05 1.10927714e-04
3.45171186e-05 1.29194665e-04
1.78467366e-04 8.84430446e-04
2.05047018e-05 8.60354723e-05
2.19955432e-05 1.23928880e-04
2.55079771e-05 1.28807051e-04
3.06805357e-05 1.99129698e-04
3.16156281e-05 1.83317670e-04
4.46923157e-04 2.69176744e-03
5.88037892e-05 2.21290436e-04
2.31819790e-05 1.26110059e-04
1.04106793e-04 4.53634673e-04
7.64668546e-05 3.48507898e-04
6.11856958e-05 2.47032187e-04
4.82335871e-05 2.14838204e-04
2.40563327e-05 1.22400130e-04
4.90405085e-05 2.09176584e-04
5.90951452e-05 2.13958442e-04
6.15674169e-05 2.40981379e-04
5.10815345e-05 2.34272246e-04
5.92184083e-05 2.55850193e-04
