freq,int_doh,int_d2o,cluster
6183.32500000,0.00007933,0.00004956,3
6183.33333333,0.00008000,0.00004992,3
6185.00000000,0.00003123,0.00000000,0
6187.40833333,0.00002315,0.00002404,5
6187.56666667,0.00002409,0.00002406,5
6190.00833333,0.00003169,0.00004559,6
6191.40000000,0.00004853,0.00003451,3
6195.00833333,0.00005048,0.00000000,0
6200.00000000,0.00238999,0.00086289,2
6201.17500000,0.00011048,0.00007553,3
6202.91666667,0.00000000,0.00001395,1
6205.00000000,0.00004518,0.00001441,4
6210.00000000,0.00005057,0.00002878,3
6210.95833333,0.00005849,0.00002619,2
6215.00000000,0.00000000,0.00002184,1
6220.00000000,0.00034638,0.00019439,3
6220.70000000,0.00002334,0.00003501,7
6225.00000000,0.00011076,0.00016129,6
6226.08333333,0.00004146,0.00002905,3
6230.00000000,0.00019093,0.00015131,5
6230.46666667,0.00000000,0.00002740,1
6230.65833333,0.00068343,0.00036995,3
6230.67500000,0.00066808,0.00035819,3
6235.00000000,0.00003348,0.00000000,0
6240.00000000,0.00026748,0.00005049,4
6240.22500000,0.00004769,0.00003786,5
6240.24166667,0.00004738,0.00003682,5
6240.32500000,0.00000000,0.00001307,1
6240.46666667,0.00042490,0.00072733,7
6240.47500000,0.00042485,0.00072999,7
6245.00833333,0.00002998,0.00004050,6
6246.32500000,0.00000000,0.00001261,1
6248.76666667,0.00000000,0.00001664,1
6248.96666667,0.00002337,0.00001721,3
6249.11666667,0.00000000,0.00001756,1
6249.16666667,0.00002115,0.00000000,0
6249.20833333,0.00001983,0.00003116,7
6249.25833333,0.00002542,0.00002198,5
6249.30833333,0.00000000,0.00001749,1
6249.35833333,0.00003268,0.00002514,5
6249.40833333,0.00002034,0.00001445,3
6249.45833333,0.00003258,0.00002665,5
6249.50833333,0.00004911,0.00002637,3
6249.55000000,0.00002612,0.00002968,6
6249.60000000,0.00006194,0.00003914,3
6249.64166667,0.00003868,0.00003880,5
6249.69166667,0.00006858,0.00005542,5
6249.73333333,0.00009663,0.00006771,3
6249.80833333,0.00013802,0.00010836,5
6249.84166667,0.00025389,0.00021170,5
6250.00000000,0.52471541,0.42579040,5
6250.19166667,0.00015405,0.00011932,5
6250.26666667,0.00011233,0.00008528,12
6250.31666667,0.00007126,0.00003638,2
6250.35833333,0.00004391,0.00004859,6
