population ranking 1
slope 0.8433312828463201
intercept 0.0
r2 0.9996623144526844
arctan 0.7006097673477599
n_points 1180

x y
5.69762588e-05 5.07956654e-05
5.37449946e-05 4.37442103e-05
4.93197062e-05 4.24373987e-05
5.65892367e-05 4.76629028e-05
5.98371862e-05 4.88892767e-05
4.88889968e-05 4.00701074e-05
4.86395587e-05 4.01295330e-05
6.12431417e-05 5.04726279e-05
5.00282873e-05 4.49888940e-05
7.94818145e-05 6.40284762e-05
1.12937144e-04 9.36742379e-05
1.45929568e-04 1.23428194e-04
1.73351117e-04 1.48554228e-04
1.90511072e-04 1.64716944e-04
1.94309850e-04 1.69104243e-04
1.84057805e-04 1.61185974e-04
1.61673947e-04 1.42858738e-04
1.31194066e-04 1.17922521e-04
4.63441858e-05 4.07581585e-05
4.95893251e-05 4.48505669e-05
4.82164242e-05 4.34112270e-05
6.02405192e-05 5.36932219e-05
6.90234606e-05 6.15955783e-05
7.29544837e-05 6.57388786e-05
1.24275740e-04 9.98316750e-05
1.11550419e-04 9.00984845e-05
9.21055758e-05 7.47830131e-05
6.91740639e-05 5.65012068e-05
7.65253224e-05 6.25146256e-05
1.06023913e-04 9.04916720e-05
1.33512890e-04 1.16321618e-04
1.54386588e-04 1.35757717e-04
1.64842678e-04 1.45439777e-04
1.62858620e-04 1.43733001e-04
1.48728015e-04 1.31139272e-04
1.24990001e-04 1.10152839e-04
9.57761897e-05 8.46052488e-05
6.57816583e-05 5.87021346e-05
9.63373051e-05 7.78370434e-05
1.28084764e-04 1.05457450e-04
1.55385177e-04 1.29997719e-04
1.73528515e-04 1.47157544e-04
1.79188395e-04 1.53758383e-04
1.71290231e-04 1.48562525e-04
1.51306865e-04 1.32591928e-04
1.22880516e-04 1.08845282e-04
9.08861399e-05 8.15045357e-05
1.90799158e-04 1.53188980e-04
2.66110127e-04 2.19495783e-04
3.38094952e-04 2.82601991e-04
3.94934057e-04 3.32093012e-04
4.26446462e-04 3.59129483e-04
4.26679523e-04 3.58695358e-04
3.95469406e-04 3.30911654e-04
3.38480832e-04 2.80999286e-04
2.65717395e-04 2.17902693e-04
1.88979383e-04 1.52010069e-04
4.78197350e-05 4.25168902e-05
1.08334888e-04 9.66446640e-05
1.93429070e-04 1.74228742e-04
5.02716554e-05 4.20892339e-05
5.41723152e-05 4.55859368e-05
5.46731983e-05 4.55700985e-05
5.14162335e-05 4.20678864e-05
4.64099873e-05 4.11219062e-05
4.75256315e-05 4.23257793e-05
4.53557474e-05 4.06124468e-05
1.30292688e-04 1.12205611e-04
2.72721358e-04 2.35697586e-04
4.67831281e-04 4.04344057e-04
6.99569879e-04 6.04323474e-04
9.39111543e-04 8.10836397e-04
1.15003379e-03 9.92558667e-04
1.29646243e-03 1.11864125e-03
1.35190425e-03 1.16630714e-03
1.30609370e-03 1.12674794e-03
1.16770205e-03 1.00746508e-03
9.62042755e-04 8.30301456e-04
7.24502773e-04 6.25783764e-04
4.91766342e-04 4.25552077e-04
2.93502325e-04 2.55182942e-04
1.46874934e-04 1.29453955e-04
6.94509206e-05 5.91122522e-05
9.34161661e-05 7.87705401e-05
1.14874750e-04 9.61982920e-05
1.30416175e-04 1.08731153e-04
1.37382973e-04 1.14232055e-04
1.34515365e-04 1.11551079e-04
1.22303077e-04 1.00847768e-04
1.02924489e-04 8.36700413e-05
5.64640764e-05 4.89204869e-05
8.30066540e-05 6.98493953e-05
7.16121180e-05 5.81633739e-05
1.42863213e-04 1.17639095e-04
6.71711333e-04 5.47367853e-04
2.07739069e-03 1.69730570e-03
4.39241780e-03 3.59101594e-03
7.58533194e-03 6.20230796e-03
1.13885855e-02 9.31185763e-03
1.53177131e-02 1.25230911e-02
1.87610131e-02 1.53356966e-02
2.11193192e-02 1.72600123e-02
2.19561728e-02 1.79397960e-02
2.11123835e-02 1.72457518e-02
1.87486324e-02 1.53101347e-02
1.53024078e-02 1.24912974e-02
1.13731499e-02 9.27960197e-03
7.57205036e-03 6.17455478e-03
4.38251627e-03 3.57079584e-03
2.07087981e-03 1.68527746e-03
6.67603080e-04 5.42122365e-04
1.45624258e-04 1.17307623e-04
7.70269428e-05 6.62418658e-05
5.06226140e-05 4.45546271e-05
5.72269720e-05 4.58852822e-05
5.23167574e-05 4.62522050e-05
5.57841078e-05 5.03141147e-05
5.27078996e-05 4.46289381e-05
6.19390488e-05 5.41775547e-05
6.80055286e-05 6.10312013e-05
5.74056344e-05 4.66610958e-05
5.68510038e-05 4.76873777e-05
5.21160853e-05 4.52904411e-05
2.67475891e-04 2.39226741e-04
1.70742131e-04 1.48906647e-04
9.52153452e-05 7.85221264e-05
9.16505382e-05 8.26647762e-05
9.62616156e-05 8.67247856e-05
9.38489819e-05 8.48536028e-05
5.53747008e-05 5.00256920e-05
5.36048656e-05 4.34603752e-05
5.22457447e-05 4.20196607e-05
8.66348240e-05 7.33825481e-05
1.69441995e-04 1.48691232e-04
2.77997771e-04 2.48743520e-04
2.43913587e-04 2.18512051e-04
1.44739392e-04 1.25070548e-04
6.57241074e-05 5.48222764e-05
6.44452731e-05 5.62837558e-05
1.38265602e-04 1.11730081e-04
1.54128904e-04 1.24951152e-04
1.59624877e-04 1.29105399e-04
1.54425188e-04 1.23803983e-04
9.32711948e-05 7.59220785e-05
1.00786258e-04 8.66107323e-05
1.06805456e-04 9.48045605e-05
1.07862872e-04 9.75006375e-05
1.41789164e-04 1.26954849e-04
1.30636810e-04 1.13997457e-04
1.11773693e-04 9.41489539e-05
