population ranking 10
slope 0.6140368039582922
intercept 0.0
r2 0.999986711899157
arctan 0.550676797236843
n_points 19

x y
2.33610858e-04 1.42030757e-04
7.98088667e-05 4.86066031e-05
4.77952569e-05 2.91431436e-05
3.03458696e-04 1.84442528e-04
2.87262607e-03 1.76621696e-03
1.39238069e-04 8.55300776e-05
1.45378519e-04 8.95285900e-05
4.00685512e-04 2.43782831e-04
7.36714545e-04 4.51997714e-04
2.74131539e-04 1.67863374e-04
1.77392508e-04 1.07764742e-04
3.95314333e-04 2.41000193e-04
7.81819381e-05 4.78959268e-05
6.21882990e-04 3.81882387e-04
4.03438225e-05 2.45614049e-05
7.52405398e-04 4.59947757e-04
3.40945100e-04 2.07474959e-04
5.01186143e-04 3.05110501e-04
8.57522285e-05 5.20849184e-05
