freq,int_h2o,int_doh,cluster
6183.33333333,0.00005221,0.00008000,6
6185.00000000,0.00000000,0.00003123,1
6187.40833333,0.00003470,0.00002315,4
6187.56666667,0.00003404,0.00002409,4
6190.00833333,0.00003663,0.00003169,11
6191.40000000,0.00005332,0.00004853,5
6195.00833333,0.00000000,0.00005048,1
6200.00000000,0.00298742,0.00238999,4
6201.17500000,0.00011284,0.00011048,5
6205.00000000,0.00000000,0.00004518,1
6210.00000000,0.00000000,0.00005057,1
6210.95833333,0.00004082,0.00005849,6
6220.00000000,0.00067503,0.00034638,3
6220.70000000,0.00000000,0.00002334,1
6225.00000000,0.00018380,0.00011076,3
6226.08333333,0.00004240,0.00004146,5
6230.00000000,0.00023809,0.00019093,4
6230.65833333,0.00128667,0.00068343,3
6230.67500000,0.00130894,0.00066808,3
6235.00000000,0.00000000,0.00003348,1
6240.00000000,0.00014159,0.00026748,8
6240.22500000,0.00007394,0.00004769,4
6240.24166667,0.00007922,0.00004738,3
6240.46666667,0.00000000,0.00042490,1
6240.47500000,0.00000000,0.00042485,1
6245.00833333,0.00005510,0.00002998,3
6248.92500000,0.00003310,0.00000000,0
6248.96666667,0.00000000,0.00002337,1
6249.01666667,0.00004912,0.00000000,0
6249.16666667,0.00000000,0.00002115,1
6249.20833333,0.00000000,0.00001983,1
6249.25833333,0.00000000,0.00002542,1
6249.35833333,0.00000000,0.00003268,1
6249.40833333,0.00000000,0.00002034,1
6249.45833333,0.00000000,0.00003258,1
6249.50833333,0.00000000,0.00004911,1
6249.55000000,0.00000000,0.00002612,1
6249.60000000,0.00000000,0.00006194,1
6249.64166667,0.00005753,0.00003868,4
6249.69166667,0.00000000,0.00006858,1
6249.73333333,0.00005372,0.00009663,8
6249.80833333,0.00008265,0.00013802,6
6249.84166667,0.00022304,0.00025389,5
6250.00000000,0.41467517,0.52471541,6
6250.19166667,0.00009623,0.00015405,6
6250.26666667,0.00006340,0.00011233,8
6250.31666667,0.00005935,0.00007126,5
6250.35833333,0.00000000,0.00004391,1
6250.40000000,0.00003716,0.00006974,8
6250.45000000,0.00003482,0.00000000,0
6250.49166667,0.00000000,0.00005358,1
6250.59166667,0.00000000,0.00002126,1
6250.64166667,0.00000000,0.00004156,1
6250.73333333,0.00000000,0.00002706,1
6250.79166667,0.00003843,0.00002219,3
6250.94166667,0.00003403,0.00002569,4
6251.03333333,0.00000000,0.00001992,1
6251.18333333,0.00000000,0.00002650,1
6251.48333333,0.00000000,0.00002663,1
