population ranking 9
slope 2.3663444292355913
intercept 0.0
r2 0.9998975117715395
arctan 1.1709664072767274
n_points 3

x y
4.83945691e-05 1.13890853e-04
6.94532050e-05 1.64672407e-04
9.00505052e-05 2.13179163e-04
