-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 9
slope 3.6766584350372016
intercept 0.0
r2 0.9982060030865519
arctan 1.305234265279166
n_points 66

x y
1.81882792e-05 5.77038522e-05
3.18772422e-05 1.04978154e-04
3.13481313e-05 1.05585101e-04
1.33061608e-04 4.00166780e-04
1.87135280e-05 7.22424826e-05
1.94291166e-05 6.15871394e-05
6.70055089e-05 1.94942528e-04
7.01813471e-05 2.34540328e-04
2.92019025e-05 1.06575359e-04
1.73848308e-05 5.47741136e-05
2.33137544e-05 7.45580462e-05
8.68516949e-05 2.51714111e-04
1.49910129e-05 4.60775818e-05
4.39656063e-05 1.53732821e-04
1.84493080e-04 5.40203630e-04
1.96605541e-05 7.29194069e-05
2.98171909e-05 1.06321651e-04
2.05236247e-05 5.98291023e-05
2.37887806e-05 8.93723444e-05
6.08789132e-05 2.16736233e-04
1.69011004e-04 5.04431108e-04
3.12900178e-05 1.12189017e-04
3.49576595e-05 1.01450416e-04
3.18078218e-05 1.19727707e-04
1.44093703e-05 5.24508141e-05
1.34945501e-05 4.24231656e-05
1.38732672e-05 4.91154108e-05
1.44263518e-05 4.19839584e-05
6.17189939e-05 1.91852457e-04
1.78191800e-05 6.74853175e-05
1.36151483e-05 4.37485863e-05
2.18850609e-05 6.52684004e-05
2.82384784e-05 8.62380771e-05
2.23399328e-05 8.42890521e-05
2.71482063e-05 9.57723432e-05
1.59988407e-05 5.12513315e-05
1.83377502e-05 6.90840921e-05
7.44337271e-03 2.88367215e-02
1.47332494e-05 5.25465158e-05
9.67503924e-03 3.44515877e-02
2.87485053e-05 8.78868348e-05
1.49094832e-05 4.38663739e-05
4.39613547e-05 1.64009570e-04
1.37266263e-05 5.21935310e-05
1.84875311e-05 5.88415461e-05
1.83576074e-05 6.13974880e-05
1.93346823e-05 7.00655890e-05
1.33289005e-05 4.24694652e-05
1.95284664e-05 6.82100144e-05
1.82202834e-05 6.10282081e-05
3.88934181e-05 1.30271208e-04
9.22719319e-05 2.97704882e-04
5.33098669e-05 1.93272753e-04
6.14005637e-05 2.06170613e-04
1.68019781e-05 5.73256122e-05
2.53325574e-05 7.75523100e-05
1.32868470e-05 4.71896333e-05
2.02575961e-05 7.40704354e-05
3.31585153e-05 9.62557862e-05
7.94631436e-05 2.31198005e-04
4.78846259e-05 1.42892171e-04
4.74915186e-05 1.44421376e-04
1.24281114e-04 3.61966120e-04
1.63631766e-05 5.09191451e-05
1.42807981e-05 4.40418695e-05
1.39807361e-05 4.59205321e-05
