-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 12
slope 2.519178298275679
intercept 0.0
r2 0.9999853189730363
arctan 1.1929178472850221
n_points 48

x y
1.33528192e-05 3.18442512e-05
4.24044171e-05 1.11858789e-04
5.41908043e-05 1.33574997e-04
2.93497435e-05 7.54514679e-05
4.23882959e-05 1.09190135e-04
7.32832360e-05 2.07435338e-04
1.42578209e-05 3.50980835e-05
7.53757102e-05 1.89925354e-04
3.34432913e-05 8.89774979e-05
2.10688122e-05 5.64718594e-05
2.01998915e-05 5.17615342e-05
2.03608699e-05 5.39363295e-05
2.05298866e-05 5.10970125e-05
2.28663063e-05 6.21269478e-05
1.18842682e-04 2.94482992e-04
3.33090951e-05 8.71586001e-05
2.30805041e-05 5.78276419e-05
3.18589246e-05 8.06967493e-05
3.38872352e-05 8.17541655e-05
5.42557287e-03 1.36661999e-02
1.58428843e-05 4.36263256e-05
2.24449181e-04 5.91565681e-04
1.90285456e-05 4.66132376e-05
2.98108362e-05 7.17366826e-05
1.49627649e-04 3.73126438e-04
1.57668305e-04 3.92664689e-04
1.99867553e-05 5.61357979e-05
2.05405982e-05 4.90578913e-05
2.77641408e-05 6.49839106e-05
2.02628627e-05 5.00899819e-05
5.35145087e-05 1.31642973e-04
2.56316573e-05 7.25334113e-05
1.66420622e-05 4.06562680e-05
3.16488675e-05 7.90451459e-05
1.51941817e-05 4.00949443e-05
2.20946242e-05 5.68784016e-05
5.21468020e-05 1.46929887e-04
5.31128414e-05 1.46000613e-04
1.58430469e-05 3.59058907e-05
1.53203581e-05 3.76974976e-05
2.15681087e-05 5.10605850e-05
4.41318072e-05 1.13414140e-04
7.11888854e-05 2.03947994e-04
2.08927526e-05 5.05672639e-05
1.94710042e-05 5.03302369e-05
4.78718011e-05 1.21907067e-04
1.64945236e-05 4.40995990e-05
5.66882719e-05 1.48658698e-04
