population ranking 21
slope 1.896967625730564
intercept 0.0
r2 0.9999953829394009
arctan 1.085659792900998
n_points 15

x y
3.72337096e-05 7.73302999e-05
6.18237515e-05 1.34235206e-04
3.58873363e-05 7.41520191e-05
5.19995133e-04 1.13150888e-03
3.36228805e-04 7.04326456e-04
1.74743416e-04 3.34300172e-04
6.15782693e-04 1.19783318e-03
3.33936031e-05 6.65427105e-05
1.24359757e-03 2.37872429e-03
4.00006429e-05 8.40011658e-05
9.21666916e-05 1.93378127e-04
4.28980926e-02 8.13728440e-02
5.56139900e-05 1.16339192e-04
8.14849465e-05 1.72089915e-04
7.81039977e-05 1.63669458e-04
