freq,int_h2o,int_d2o,cluster
6249.80833333,0.00008265,0.00010836,13
6249.84166667,0.00022304,0.00021170,11
6250.00000000,0.41467517,0.42579040,24
6250.19166667,0.00009623,0.00011932,13
6250.26666667,0.00006340,0.00008528,27
6250.31666667,0.00005935,0.00003638,7
6250.40000000,0.00003716,0.00003931,14
6250.45000000,0.00003482,0.00002415,8
6250.79166667,0.00003843,0.00003045,10
6250.94166667,0.00003403,0.00001374,2
6259.76666667,0.00006199,0.00004986,10
6259.77500000,0.00006364,0.00004907,28
6260.00000000,0.00029159,0.00006064,0
6269.32500000,0.00092689,0.00048782,6
6269.33333333,0.00091660,0.00049046,6
6270.00000000,0.00006182,0.00013424,21
6275.00000000,0.00013570,0.00005540,20
6280.00000000,0.00033048,0.00027342,10
6285.00000000,0.00004916,0.00002681,6
6289.06666667,0.00006276,0.00004508,8
6289.07500000,0.00006295,0.00004447,8
6290.00000000,0.00013716,0.00004245,1
6298.82500000,0.00012411,0.00008859,8
6298.83333333,0.00012299,0.00008962,8
6300.00000000,0.00260269,0.00296682,14
6305.00000000,0.00003500,0.00003323,11
6308.60833333,0.00005191,0.00005079,11
6310.00000000,0.00013934,0.00010083,8
6315.41666667,0.00101615,0.00038736,2
6320.00000000,0.00064331,0.00034949,6
6325.00000000,0.00068080,0.00052396,28
6328.12500000,0.00004115,0.00005235,13
6330.00000000,0.00015230,0.00013856,11
6332.68333333,0.00014087,0.00008305,7
6335.22500000,0.00014143,0.00013422,11
6337.90000000,0.00007262,0.00005377,8
6340.00000000,0.00009308,0.00010082,14
6344.66666667,0.00036675,0.00010587,1
6345.00000000,0.00005806,0.00004602,10
6347.66666667,0.00011581,0.00008044,8
6347.67500000,0.00011725,0.00007912,15
6349.83333333,0.00006932,0.00005137,8
6350.00000000,0.00306343,0.00276020,11
6350.61666667,0.00003394,0.00002185,7
6356.74166667,0.00018290,0.00004402,0
6357.42500000,0.00004182,0.00004282,24
6357.43333333,0.00004262,0.00004224,11
6360.00000000,0.00028535,0.00005309,3
6363.90833333,0.00183980,0.00052213,1
6365.00000000,0.00011213,0.00002586,0
6367.20833333,0.00685684,0.00434212,7
6370.00000000,0.00008423,0.00012880,17
6370.20000000,0.00028703,0.00002916,5
6375.00000000,0.00079030,0.00072932,11
6376.96666667,0.00006050,0.00004030,15
6379.23333333,0.00036306,0.00008733,0
6380.00000000,0.00093302,0.00060867,7
6383.24166667,0.00006178,0.00002736,4
6385.00000000,0.00008568,0.00010425,13
6386.72500000,0.00011689,0.00008433,8
6390.00000000,0.00008379,0.00010937,13
6394.64166667,0.00024886,0.00002186,5
6396.35000000,0.00003281,0.00001849,6
6396.48333333,0.00032889,0.00025339,28
6399.46666667,0.00039072,0.00004146,5
6400.00000000,0.00148965,0.00024209,3
6403.50833333,0.00189368,0.00027600,3
6405.00000000,0.00008860,0.00006771,8
6406.25833333,0.00013176,0.00008864,15
6410.00000000,0.00022334,0.00019024,10
6417.90000000,0.00012022,0.00004216,2
6420.00000000,0.00089246,0.00082741,11
