-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 23
slope 0.5568905383443168
intercept 0.0
r2 0.9999954653069947
arctan 0.5081180545785087
n_points 2

x y
2.54998056e-05 1.42977314e-05
1.43355570e-04 7.98160830e-05
