-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 7
slope 0.24979720641357944
intercept 0.0
r2 0.9936890267591308
arctan 0.24478778946950305
n_points 69

x y
1.33323085e-04 3.04845202e-05
4.78303406e-04 1.14049027e-04
1.20225579e-04 2.60710014e-05
2.36303085e-04 5.55508448e-05
1.16727551e-04 3.00367272e-05
1.73217702e-04 3.78833083e-05
6.93463889e-05 1.32662038e-05
5.68263907e-05 1.46699983e-05
1.30209808e-04 3.40770276e-05
5.38991059e-05 1.13462186e-05
1.30520904e-04 3.10642176e-05
1.31506083e-04 3.25007666e-05
6.19832376e-05 1.32724876e-05
6.57466490e-05 1.34354193e-05
7.95694312e-05 1.79448809e-05
8.21400638e-05 1.76413699e-05
2.64377064e-04 6.47606534e-05
5.88661331e-05 1.18644205e-05
6.90074583e-05 1.51112154e-05
6.81978268e-05 1.63629793e-05
7.20622856e-05 1.70193608e-05
4.35153678e-05 1.17798971e-05
1.30813428e-04 3.04369991e-05
5.88072974e-05 1.57504227e-05
1.19262039e-04 2.97833482e-05
3.31289672e-04 6.94572583e-05
1.14689548e-04 2.21567574e-05
6.21834614e-05 1.57557973e-05
9.29614493e-05 2.51771281e-05
1.03017145e-04 2.44593968e-05
1.86664821e-04 4.90161080e-05
7.26748171e-05 1.69864051e-05
1.02213144e-04 2.48083949e-05
6.12320008e-05 1.50987944e-05
7.03330399e-05 1.32557319e-05
4.91759167e-04 1.27046992e-04
1.57876401e-04 3.60355720e-05
8.55950695e-05 1.80609148e-05
2.42301660e-04 5.32080645e-05
2.56706728e-04 6.93501279e-05
2.95073089e-04 7.24351972e-05
1.17080938e-04 2.34213089e-05
6.24166573e-05 1.53077130e-05
3.14835369e-04 7.67880908e-05
8.74115543e-05 2.20335008e-05
7.55943314e-05 1.75839268e-05
5.54522145e-04 1.33173389e-04
8.75061582e-05 1.89198318e-05
1.61690603e-03 4.18250750e-04
9.87540388e-04 2.51653653e-04
4.30531946e-04 1.07016237e-04
5.83135117e-05 1.45447036e-05
7.19516952e-04 1.91289027e-04
2.87970371e-04 7.49692203e-05
7.25559606e-05 1.53335570e-05
7.38556976e-05 1.48093725e-05
4.72567023e-05 1.22709328e-05
1.60095203e-04 4.18485217e-05
4.88426175e-05 1.21685989e-05
5.76341635e-05 1.19044618e-05
2.58848006e-04 4.95200982e-05
1.98633614e-04 4.57782341e-05
3.74287649e-04 7.96188837e-05
6.30920878e-04 1.42075187e-04
7.01608462e-05 1.32852837e-05
6.08726396e-05 1.16154653e-05
5.19974628e-05 1.38535986e-05
5.58095274e-05 1.09609186e-05
4.73918205e-05 1.17026078e-05
