-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 2
slope 0.7571062270665552
intercept 0.0
r2 0.9995843240787927
arctan 0.6480336026852188
n_points 220

x y
3.24269708e-05 2.57587081e-05
1.86536848e-05 1.41339022e-05
1.60022525e-05 1.17769598e-05
1.59001955e-05 1.22311766e-05
2.90304640e-05 2.09190645e-05
4.29416147e-05 3.40820736e-05
8.90147728e-04 6.96726057e-04
6.10998635e-05 4.49657698e-05
1.22189440e-04 9.62597902e-05
1.83461967e-05 1.27523442e-05
1.62421494e-05 1.20992585e-05
1.57181761e-05 1.22750535e-05
4.92585749e-05 3.63585664e-05
1.39676876e-04 1.11319589e-04
5.12795899e-05 3.98972484e-05
3.93783625e-05 2.81886649e-05
2.10173439e-04 1.50314872e-04
2.58494581e-05 2.02080037e-05
1.60657736e-05 1.20770274e-05
5.14582523e-05 4.06730620e-05
1.56295357e-05 1.19670440e-05
1.67828195e-05 1.17460480e-05
1.98806455e-05 1.35654995e-05
2.00324101e-05 1.49273786e-05
2.12821971e-05 1.47456680e-05
5.13721085e-05 3.96579772e-05
1.48181522e-04 1.18963118e-04
1.53677495e-04 1.23117365e-04
3.20287405e-05 2.51831441e-05
2.12143662e-05 1.50665642e-05
4.30171993e-05 3.24322745e-05
2.69692239e-05 1.85477328e-05
1.56733050e-05 1.13514324e-05
2.19549455e-05 1.69447089e-05
2.28977361e-05 1.79975445e-05
6.50945118e-05 4.87684390e-05
4.65320351e-05 3.71901777e-05
4.40643681e-05 3.33657042e-05
2.05417364e-05 1.62833450e-05
2.14729111e-05 1.46930541e-05
3.26295787e-05 2.36296102e-05
1.55229627e-05 1.12539542e-05
3.90359559e-05 3.10789372e-05
6.47779116e-04 4.77833113e-04
8.28143597e-05 5.84592975e-05
1.75275225e-05 1.29317457e-05
2.93976378e-05 2.10078050e-05
6.81113861e-05 4.87152283e-05
6.50680486e-05 4.61989587e-05
6.52262393e-05 4.67551571e-05
2.45863541e-05 1.78010109e-05
2.26625354e-05 1.75385139e-05
2.04910063e-05 1.58195897e-05
1.84554429e-05 1.33170886e-05
4.83180243e-05 3.38573118e-05
2.88428938e-05 2.20646694e-05
3.30117498e-05 2.62424780e-05
1.51444185e-05 1.19614735e-05
2.97670231e-05 2.31448449e-05
2.19647784e-04 1.69849065e-04
9.58212699e-05 7.25866330e-05
5.92206701e-05 4.65640650e-05
6.09890106e-05 4.62633819e-05
9.19642931e-05 7.34107204e-05
1.45648810e-05 1.13986303e-05
3.44266875e-05 2.42558168e-05
7.69178383e-05 6.03844760e-05
6.67911730e-05 4.93168688e-05
4.33658277e-05 3.35570380e-05
2.85436334e-05 2.10369331e-05
3.55254889e-05 2.49047181e-05
1.97742101e-05 1.34493133e-05
2.76573251e-05 2.09030918e-05
2.26236307e-05 1.77860677e-05
3.52758355e-05 2.58481289e-05
5.31441053e-05 4.26050237e-05
1.14199838e-04 8.94221843e-05
7.06321372e-05 5.53328585e-05
9.50503829e-05 6.89933364e-05
2.25979761e-05 1.58673593e-05
2.19882461e-05 1.59802468e-05
1.52887587e-05 1.18307557e-05
1.49550570e-05 1.09348352e-05
1.49353273e-05 1.17847372e-05
2.17925069e-05 1.55059325e-05
2.30054773e-05 1.66786790e-05
1.82768981e-05 1.30829439e-05
1.61914893e-05 1.27647836e-05
2.59419754e-05 1.95118518e-05
9.21720342e-05 6.43717577e-05
1.03361867e-04 7.97416444e-05
2.74723904e-05 2.10566226e-05
7.99950007e-05 5.51384888e-05
1.48178303e-05 1.10231294e-05
3.65666264e-05 2.61741670e-05
2.47991048e-05 1.95156851e-05
2.48172166e-05 1.86994045e-05
3.80687313e-05 2.86492678e-05
3.24080002e-05 2.59316535e-05
2.97215262e-05 2.13948327e-05
2.18698170e-04 1.75413256e-04
1.03258011e-04 8.24899156e-05
3.00634860e-05 2.07894857e-05
1.73949577e-05 1.38585143e-05
2.23296757e-05 1.62545278e-05
3.70843309e-05 2.77295562e-05
2.55955656e-05 1.91929487e-05
3.69230526e-05 2.58493616e-05
3.24954465e-05 2.34715166e-05
1.32852471e-04 1.03791732e-04
1.57659406e-05 1.08601143e-05
6.14198493e-05 4.57164852e-05
4.66606353e-05 3.48883935e-05
4.27916235e-05 2.94737133e-05
3.07952749e-05 2.41550199e-05
1.17011554e-03 8.49501008e-04
1.11903439e-04 8.93969586e-05
1.16033852e-04 9.18666287e-05
1.96665695e-04 1.45914006e-04
2.84349708e-05 2.16287325e-05
6.56553715e-05 4.57492727e-05
1.52484485e-05 1.12701022e-05
9.57033739e-05 7.52808667e-05
1.15147849e-04 8.30302534e-05
1.18102939e-04 8.46119629e-05
7.39580635e-05 5.10438225e-05
8.06298000e-05 5.56648792e-05
2.13316491e-05 1.46287294e-05
2.01134195e-05 1.51222390e-05
2.72128020e-05 2.11200802e-05
4.49307887e-05 3.43781947e-05
1.02506585e-04 7.82112951e-05
2.62636050e-05 1.80593385e-05
6.64899362e-05 4.74861434e-05
1.77817027e-05 1.39042831e-05
1.31260176e-03 1.03481615e-03
1.02120739e-03 8.10754768e-04
1.04323363e-03 8.29654295e-04
2.64686196e-05 1.87085398e-05
1.82483623e-05 1.39365856e-05
3.27995876e-05 2.58136720e-05
3.30931363e-05 2.26079657e-05
8.16147976e-05 6.27537925e-05
2.41049515e-05 1.77141243e-05
6.07339807e-05 4.72570862e-05
1.80909754e-05 1.29494591e-05
6.80921823e-04 5.33784579e-04
2.30855591e-05 1.60318360e-05
1.58873406e-05 1.21915330e-05
2.33335116e-04 1.77989829e-04
4.50355006e-05 3.16014114e-05
8.02695416e-05 5.53013754e-05
1.26641128e-04 9.19599200e-05
1.25512394e-04 9.35893914e-05
4.09341780e-04 3.00545259e-04
4.19238427e-04 3.08301632e-04
1.29635416e-04 9.09655084e-05
3.53756785e-04 2.67686844e-04
3.72654107e-04 2.83912955e-04
1.00676347e-03 7.54430170e-04
2.89019705e-04 2.16341779e-04
4.67465396e-04 3.41064865e-04
3.82356072e-04 2.84659578e-04
7.01279030e-05 5.33526882e-05
3.15437577e-05 2.19660976e-05
2.69996487e-05 2.00897255e-05
3.40868498e-05 2.43488253e-05
1.49393793e-05 1.12367933e-05
1.17628321e-04 9.21698367e-05
1.20769515e-04 9.66886602e-05
3.21603627e-05 2.40348707e-05
5.92011781e-05 4.24441116e-05
3.34415892e-05 2.48068312e-05
5.26108609e-05 3.71564074e-05
8.18125861e-05 5.81335170e-05
2.13261537e-05 1.46223401e-05
2.17873541e-04 1.71768011e-04
3.18263270e-04 2.52589402e-04
2.19045912e-04 1.73746155e-04
7.09079282e-05 5.20655391e-05
3.12026611e-05 2.22242594e-05
3.12034525e-05 2.21462834e-05
4.69367864e-05 3.25679893e-05
7.54912032e-05 5.70650664e-05
1.17089830e-04 9.12747786e-05
8.18259979e-05 6.12620088e-05
6.85603086e-04 5.17160614e-04
1.39235624e-03 1.04269956e-03
1.41399719e-03 1.05449137e-03
9.69798680e-04 7.28080008e-04
1.09759268e-03 8.25206628e-04
1.94127557e-04 1.45152348e-04
1.14440470e-03 8.70993286e-04
1.16514348e-03 8.88616568e-04
4.32629833e-03 3.26470795e-03
1.44039513e-03 1.09065152e-03
1.34078009e-03 1.01411141e-03
2.22077544e-03 1.67354542e-03
9.49660700e-04 7.29748328e-04
2.15226115e-03 1.63520911e-03
7.41335771e-04 5.61255672e-04
8.54243276e-04 6.47789224e-04
4.04083897e-04 2.92261402e-04
2.35536807e-05 1.64466997e-05
9.82919059e-05 7.76998061e-05
5.42149645e-05 4.16905245e-05
7.38238457e-05 5.05982965e-05
1.55254693e-05 1.12617580e-05
1.89328523e-05 1.30022673e-05
2.02732841e-05 1.59163365e-05
3.68582638e-05 2.85037924e-05
1.59934241e-05 1.11841049e-05
4.28778043e-05 3.11703213e-05
2.81761520e-05 1.92962614e-05
2.98556214e-04 2.13062224e-04
1.59828927e-04 1.20689448e-04
4.65425322e-04 3.26534646e-04
2.08587571e-05 1.46034818e-05
6.19024903e-05 4.76231026e-05
2.85867384e-04 2.29307993e-04
