freq,int_h2o,int_d2o,cluster
3014.60028000,0.00042073,0.00035271,0
3048.94447000,0.00061092,0.00056593,0
3056.63347000,0.00001548,0.00001318,0
3057.99246000,0.00003176,0.00002652,0
3058.91037000,0.00032118,0.00029176,0
3066.83779000,0.00004873,0.00003958,0
3068.20869000,0.00004158,0.00003634,0
3087.31794000,0.00003615,0.00003738,1
3088.76038000,0.00002779,0.00002635,1
3089.42795000,0.00002790,0.00003745,6
3102.33831000,0.00134596,0.00116032,0
3104.25758000,0.00062869,0.00060025,1
3107.03516000,0.00001941,0.00001203,5
3118.97993000,0.00013144,0.00010824,0
3123.06881000,0.00001624,0.00001210,2
3123.08073000,0.00001572,0.00001228,2
3124.51124000,0.00002319,0.00001471,5
3124.61853000,0.00001885,0.00002002,1
3124.66621000,0.00002707,0.00001445,8
3124.71390000,0.00003031,0.00002762,0
3124.76158000,0.00003638,0.00002928,0
3124.79734000,0.00004926,0.00003636,2
3124.84503000,0.00007706,0.00006386,0
3124.88079000,0.00013692,0.00011165,0
3125.00000000,0.02195023,0.01793381,0
3125.11921000,0.00013968,0.00011132,2
3125.15497000,0.00007108,0.00006025,0
3125.20266000,0.00005128,0.00003990,2
3125.23842000,0.00003938,0.00002819,2
3125.28610000,0.00002627,0.00002850,1
3125.33379000,0.00002494,0.00002016,0
3125.42915000,0.00001646,0.00001447,0
3125.53644000,0.00001524,0.00001524,1
3155.45797000,0.00001546,0.00002752,15
3187.65640000,0.00021017,0.00015031,2
3190.54127000,0.00031801,0.00001957,3
3199.57733000,0.00014050,0.00012737,0
3203.12977000,0.00001932,0.00001118,5
3218.22166000,0.00002788,0.00001627,5
3218.23359000,0.00002719,0.00001711,5
3229.96378000,0.00002448,0.00001420,5
3231.26316000,0.00004984,0.00004433,0
3231.27508000,0.00004943,0.00004508,0
3232.40757000,0.00004958,0.00005257,1
3241.93239000,0.00006206,0.00005504,0
3244.20929000,0.00002279,0.00001128,8
3244.24505000,0.00001606,0.00001748,1
3251.94597000,0.00002121,0.00001408,5
3262.12645000,0.00002585,0.00002021,2
3262.79402000,0.00001479,0.00001760,4
3291.21351000,0.00003188,0.00010498,9
3291.22543000,0.00003135,0.00010559,9
3300.78602000,0.00001737,0.00001408,0
3311.97977000,0.00002161,0.00002356,1
3318.85815000,0.00002930,0.00003136,1
3319.44227000,0.00003721,0.00003197,0
3319.69261000,0.00001607,0.00001208,2
3320.43171000,0.00002550,0.00001430,23
3325.47426000,0.00002666,0.00002743,1
3334.70106000,0.00001831,0.00002766,6
3347.75448000,0.00003078,0.00002657,0
3351.11618000,0.00002036,0.00001317,5
3351.16386000,0.00005146,0.00004067,2
3351.17579000,0.00005090,0.00004170,0
3365.42130000,0.00013306,0.00040017,9
3376.77002000,0.00025178,0.00023527,0
3380.83506000,0.00001563,0.00001197,2
3404.85573000,0.00060829,0.00056171,0
3419.64960000,0.00003091,0.00001245,11
3421.98610000,0.00013332,0.00003048,7
3437.49523000,0.00016023,0.00019214,4
3448.58170000,0.00001678,0.00001175,2
3459.20324000,0.00001988,0.00001357,2
3480.78012000,0.00001635,0.00003391,10
3489.17246000,0.00001343,0.00001823,6
3489.97116000,0.00001452,0.00007711,14
3489.98308000,0.00001490,0.00007600,14
3496.08660000,0.00001871,0.00007224,9
3513.33618000,0.00001637,0.00002187,6
3515.55347000,0.00001306,0.00010199,16
3515.63692000,0.00003297,0.00001766,8
3516.88862000,0.00047830,0.00011405,7
3516.98399000,0.00012023,0.00002607,7
3523.43321000,0.00023630,0.00005555,7
3523.54050000,0.00011673,0.00003004,7
3524.85180000,0.00004240,0.00011186,12
3532.89843000,0.00017322,0.00003788,7
3532.99379000,0.00006935,0.00001327,7
3542.30404000,0.00009031,0.00008074,0
3561.36560000,0.01128778,0.00020688,3
3561.48481000,0.00757842,0.00013688,3
3562.40273000,0.00001942,0.00001725,0
3564.45312000,0.00002003,0.00001493,2
3568.98308000,0.00039001,0.00001248,3
3569.91291000,0.00015025,0.00001111,3
3574.28789000,0.00002128,0.00001475,2
3575.20580000,0.00001351,0.00001793,6
3575.53959000,0.00005137,0.00003966,2
3575.87337000,0.00003200,0.00002957,0
3575.88530000,0.00003301,0.00002854,0
3576.43366000,0.00001644,0.00002222,6
3576.55287000,0.00004114,0.00001652,11
3585.61277000,0.00168612,0.00008825,3
3589.11753000,0.00001658,0.00002517,6
3593.93358000,0.00004748,0.00005539,4
3594.01703000,0.00004726,0.00005301,4
3594.02895000,0.00004921,0.00005307,1
3597.04494000,0.00034786,0.00001784,3
3601.58682000,0.00003744,0.00001767,8
3603.12462000,0.00071066,0.00065388,0
3606.09293000,0.00005978,0.00004883,0
3614.56871000,0.00014818,0.00011896,2
3614.58063000,0.00015368,0.00012312,2
3614.68792000,0.00010086,0.00008882,0
3620.64838000,0.00013696,0.00012460,0
3622.74647000,0.00005683,0.00001467,7
3627.37179000,0.00008233,0.00001482,13
3630.91230000,0.00004320,0.00004288,1
3631.65140000,0.00003572,0.00003781,1
3633.04615000,0.00001449,0.00001906,6
3640.81860000,0.00002977,0.00001589,8
3644.51408000,0.00001938,0.00003580,10
3644.52600000,0.00002139,0.00003704,15
3646.21878000,0.00027536,0.00001262,3
3646.23070000,0.00031752,0.00001363,3
3646.36183000,0.00158701,0.00149415,0
3647.17245000,0.00005512,0.00003595,5
3659.39140000,0.00001895,0.00002048,1
3659.42717000,0.00004478,0.00003902,0
3659.54638000,0.00850409,0.00808445,1
3659.67751000,0.00004318,0.00005040,4
3659.84440000,0.00001525,0.00001470,1
3664.29090000,0.00041742,0.00038849,0
3668.06984000,0.00008626,0.00003310,11
3668.08176000,0.00013021,0.00003408,7
3668.12944000,0.00026835,0.00001722,3
3672.12296000,0.00001600,0.00002234,6
3672.13488000,0.00001592,0.00002341,6
3672.33753000,0.00001737,0.00003284,10
3674.76940000,0.00003203,0.00002518,2
3674.79324000,0.00003736,0.00003019,0
3675.04358000,0.00014760,0.00012554,0
3676.95093000,0.00002527,0.00003869,6
3677.91653000,0.00012342,0.00001328,13
3683.93660000,0.00003154,0.00003206,1
3685.42671000,0.00016709,0.00020314,4
3685.92739000,0.00005239,0.00004725,0
3686.41615000,0.00005390,0.00001135,7
3688.01355000,0.00009150,0.00007907,0
3688.03740000,0.00009740,0.00008713,0
3688.87186000,0.00001783,0.00007071,14
3688.89570000,0.00001943,0.00006159,9
3689.16988000,0.00003712,0.00001138,17
3689.18180000,0.00003644,0.00001305,11
3689.31293000,0.00065351,0.00062218,1
3693.31837000,0.00052367,0.00001668,3
3701.72262000,0.00044839,0.00002004,3
3701.75838000,0.00029685,0.00001217,3
3703.22466000,0.00002121,0.00001507,2
3703.41539000,0.00001819,0.00001870,1
3703.46308000,0.00013052,0.00003106,7
3703.47500000,0.00013151,0.00003250,7
3703.60613000,0.00003604,0.00001727,8
3703.76110000,0.00001938,0.00001752,0
3703.80878000,0.00002194,0.00002221,1
3703.85647000,0.00002986,0.00001964,5
3703.90415000,0.00003721,0.00003565,1
3703.95184000,0.00004649,0.00004548,1
3703.98760000,0.00002308,0.00002677,4
3704.07104000,0.00013957,0.00014188,1
3704.19025000,0.02826041,0.02625710,0
3704.32138000,0.00015850,0.00015271,1
3704.35715000,0.00008630,0.00008080,0
3704.39291000,0.00004302,0.00003243,2
3704.44059000,0.00004528,0.00004514,1
3704.48828000,0.00003962,0.00003694,0
3704.53596000,0.00002266,0.00002463,1
3704.58364000,0.00002697,0.00001855,2
3704.63133000,0.00002408,0.00002401,1
3704.67901000,0.00001705,0.00001833,1
3704.77438000,0.00001605,0.00002558,15
3704.78630000,0.00001737,0.00002493,6
3704.83398000,0.00001567,0.00001135,2
3706.24065000,0.00010789,0.00009217,0
3707.28970000,0.00001769,0.00003033,15
3707.64732000,0.00011115,0.00011057,1
3709.32817000,0.00008117,0.00001195,13
3710.59179000,0.00183895,0.00002104,3
3712.28456000,0.00088406,0.00075659,0
3719.01989000,0.00002190,0.00001762,0
3719.03181000,0.00002195,0.00001694,2
3719.55633000,0.00001912,0.00001879,1
3719.67554000,0.00001535,0.00001770,4
3720.45040000,0.00002290,0.00001800,2
3720.77227000,0.00006509,0.00004877,2
3721.10605000,0.00003313,0.00003021,0
3721.65442000,0.00002324,0.00001330,5
3721.76170000,0.00004653,0.00003719,2
3726.04132000,0.00002471,0.00003405,6
3730.89314000,0.00001992,0.00002358,4
3735.49461000,0.00014077,0.00014268,1
3738.90400000,0.00009173,0.00008808,1
3748.57187000,0.00003783,0.00003120,0
3748.69108000,0.00763033,0.00724398,1
3748.82221000,0.00004406,0.00003337,2
3748.85798000,0.00002054,0.00001628,2
3750.00238000,0.00010397,0.00002922,17
3752.92301000,0.00002766,0.00002637,1
3757.92980000,0.00002192,0.00004400,10
3769.48118000,0.00001902,0.00001757,0
3776.38340000,0.00006280,0.00006995,4
3779.17290000,0.00006634,0.00007585,4
3783.41675000,0.00004079,0.00005172,4
3783.42867000,0.00004339,0.00005270,4
3787.81557000,0.00006583,0.00006567,1
3787.82749000,0.00006644,0.00006558,1
3788.48314000,0.00002147,0.00001469,2
3791.57066000,0.00019726,0.00001148,3
3795.05157000,0.00002487,0.00052400,19
3795.15886000,0.00005419,0.00013357,12
3813.80320000,0.00001721,0.00003568,10
3826.55859000,0.00003648,0.00003287,0
3837.99076000,0.00003263,0.00002363,2
3842.86642000,0.00023471,0.00021871,0
3842.87834000,0.00023753,0.00021885,0
3851.33028000,0.00001792,0.00001183,5
3872.43032000,0.00004271,0.00002262,8
3904.62875000,0.00001552,0.00001125,2
3906.70300000,0.00113901,0.00001425,3
3906.72684000,0.00139838,0.00002008,3
3920.49551000,0.00006198,0.00001327,7
3934.78870000,0.00003904,0.00003108,2
3938.61532000,0.00063087,0.00055828,0
3938.62724000,0.00063522,0.00056136,0
3949.92828000,0.00001570,0.00001314,0
3966.00962000,0.00001314,0.00024653,19
3972.61381000,0.00068216,0.00002702,3
3990.90052000,0.00003910,0.00003493,0
4006.73151000,0.00002528,0.00002989,4
4006.77919000,0.00006140,0.00007011,4
4027.10438000,0.00037740,0.00034171,0
4032.58801000,0.00002984,0.00003788,4
4034.06620000,0.00003242,0.00002153,5
4034.07812000,0.00003242,0.00002188,5
4036.20005000,0.00003928,0.00002255,5
4057.12128000,0.00002381,0.00002061,0
4062.49762000,0.00017783,0.00010601,5
4075.65832000,0.00006045,0.00005907,1
4102.56386000,0.00006847,0.00005587,0
4102.57578000,0.00006684,0.00005628,0
4109.62105000,0.00144530,0.00006337,3
4118.16835000,0.00001741,0.00001114,5
4126.58453000,0.00129688,0.00001166,3
4140.65123000,0.00071323,0.00003108,3
4140.87772000,0.00003775,0.00003233,0
4155.82657000,0.00002781,0.00001459,8
4168.66541000,0.00034651,0.00001859,3
4168.67733000,0.00034958,0.00001819,3
4174.07751000,0.00003445,0.00003688,1
4176.93853000,0.00037824,0.00001148,3
4193.13908000,0.00003625,0.00002088,5
4213.34505000,0.00004235,0.00004063,1
4233.19340000,0.00064778,0.00047783,2
4237.22267000,0.00002315,0.00001265,8
4237.23459000,0.00002328,0.00001409,5
4248.79789000,0.00005680,0.00005093,0
4251.32513000,0.00004282,0.00004810,4
4259.08566000,0.00003819,0.00003121,0
4277.68230000,0.00003117,0.00002698,0
4281.07977000,0.00008281,0.00005846,2
4281.52084000,0.00002002,0.00001084,8
4281.54469000,0.00001753,0.00001293,2
4282.96328000,0.00004243,0.00005425,4
4282.97520000,0.00004448,0.00005372,4
4285.07328000,0.00002940,0.00002101,2
4285.53820000,0.00036824,0.00001200,3
4294.39545000,0.00015673,0.00017092,1
4308.80785000,0.00007113,0.00006642,0
4309.16548000,0.00093826,0.00087685,0
4309.17740000,0.00096006,0.00089771,0
4326.59388000,0.00013686,0.00011480,0
4336.54785000,0.00005553,0.00004719,0
4345.36934000,0.00001945,0.00002243,4
4351.17483000,0.00006811,0.00004872,2
4351.22252000,0.00006507,0.00004620,2
4351.23444000,0.00006523,0.00004676,2
4351.46093000,0.00004699,0.00003098,5
4351.60398000,0.00002459,0.00001780,2
4360.49700000,0.00006701,0.00019494,9
4369.06815000,0.00002233,0.00002447,1
4370.71323000,0.00253515,0.00002068,3
4372.56098000,0.00007018,0.00023454,9
4375.00477000,0.00006382,0.00010023,15
4382.97987000,0.00007427,0.00006180,0
4388.33237000,0.00008203,0.00002782,11
4396.64125000,0.00002216,0.00001259,5
4396.68894000,0.00001347,0.00002173,15
4397.14193000,0.00002960,0.00001366,8
4409.82580000,0.00002862,0.00003352,4
4412.36496000,0.00004101,0.00004478,1
4412.65106000,0.00065211,0.00053651,0
4418.84995000,0.00002266,0.00001754,2
4421.50831000,0.00018545,0.00002508,13
4421.55600000,0.00008903,0.00003195,11
4429.60262000,0.00003761,0.00002182,5
4432.33252000,0.00005381,0.00003608,5
4433.45308000,0.00001511,0.00001587,1
4433.47692000,0.00001708,0.00001408,0
4440.46259000,0.00001383,0.00001425,1
4444.31305000,0.00002049,0.00001582,2
4444.33689000,0.00001872,0.00001811,1
4446.18464000,0.00001423,0.00001168,0
4446.41113000,0.00002036,0.00002070,1
4446.43497000,0.00002254,0.00001859,0
4449.34368000,0.00004925,0.00004230,0
4451.19143000,0.00001512,0.00001755,4
4451.28679000,0.00001846,0.00001332,2
4451.38216000,0.00006860,0.00002160,17
4451.46561000,0.00006247,0.00005264,0
4451.50137000,0.00009347,0.00007867,0
4451.62058000,0.01689307,0.01435401,0
4451.63250000,0.01690590,0.01433935,0
4451.75171000,0.00008670,0.00007025,0
4451.78747000,0.00004832,0.00003386,2
4451.87092000,0.00002377,0.00002415,1
4451.91860000,0.00002380,0.00001135,8
4460.82354000,0.00010495,0.00009954,1
4468.40525000,0.00008104,0.00075097,16
4471.14706000,0.00002453,0.00001507,5
4473.18554000,0.00096137,0.00088272,0
4473.47164000,0.00002935,0.00007545,12
4475.53396000,0.00043055,0.00041148,1
4477.82278000,0.00005308,0.00007263,6
4477.83470000,0.00005010,0.00007278,6
4478.13272000,0.00006420,0.00007399,4
4478.77645000,0.00002422,0.00010324,14
4485.86941000,0.00034172,0.00001599,3
4487.52642000,0.00002884,0.00002206,2
4487.97941000,0.00008064,0.00001194,13
4488.03902000,0.00005231,0.00002130,11
4489.36224000,0.00002124,0.00001081,8
4491.65106000,0.00010062,0.00001145,13
4493.05773000,0.00009404,0.00009872,1
4494.23790000,0.00001453,0.00001569,1
4503.53622000,0.00009297,0.00009688,1
4504.20380000,0.00001865,0.00002131,4
4515.36179000,0.00002896,0.00002440,0
4516.22009000,0.00042396,0.00003471,3
4516.23201000,0.00043489,0.00003601,3
4518.21089000,0.00001632,0.00002926,15
4521.70372000,0.00002001,0.00002090,1
4522.45474000,0.00003301,0.00002624,2
4528.90396000,0.00002244,0.00001288,5
4537.08172000,0.00006575,0.00001344,7
4537.41550000,0.00004427,0.00004737,1
4537.42743000,0.00004496,0.00004493,1
4540.59839000,0.00001514,0.00001196,2
4547.07146000,0.00002977,0.00002314,2
4552.34051000,0.00158979,0.00002559,3
4556.08368000,0.00137253,0.00131700,1
4572.43919000,0.00008450,0.00007303,0
4573.45247000,0.00004535,0.00004211,0
4582.81040000,0.00004512,0.00004337,1
4587.45956000,0.00018203,0.00015495,0
4607.84435000,0.00004137,0.00002134,8
4611.48024000,0.00003554,0.00001363,11
4623.75879000,0.00001817,0.00001879,1
4631.81734000,0.00002920,0.00010658,9
4631.87695000,0.00009327,0.00003865,11
4635.81085000,0.00021965,0.00016985,2
4644.96613000,0.00007396,0.00001251,13
4644.97805000,0.00007247,0.00001253,13
4645.66946000,0.00001912,0.00001787,0
4645.68138000,0.00001882,0.00001857,1
4646.15822000,0.00002775,0.00001510,8
4653.06044000,0.00009582,0.00007259,2
4653.08428000,0.00009117,0.00008633,1
4653.73993000,0.00009445,0.00009278,1
4654.88434000,0.00001515,0.00001219,0
4657.38773000,0.00003476,0.00003650,1
4659.16395000,0.00004239,0.00010919,12
4659.80768000,0.00001766,0.00003653,10
4659.83152000,0.00001904,0.00003253,15
4661.01170000,0.00001738,0.00005477,9
4661.10706000,0.00007328,0.00020744,12
4662.97865000,0.00019551,0.00018658,1
4663.57470000,0.00002188,0.00001905,0
4663.58662000,0.00002213,0.00001858,0
4665.26747000,0.00066105,0.00001182,3
4668.47420000,0.00004937,0.00004420,0
4668.48612000,0.00004954,0.00004500,0
4670.87030000,0.00007984,0.00002507,17
4674.80421000,0.00032179,0.00002626,3
4675.92478000,0.00002208,0.00001194,8
4676.11551000,0.00007957,0.00001794,7
4676.12743000,0.00008214,0.00001764,7
4678.16591000,0.00005922,0.00004656,2
4678.17783000,0.00006099,0.00004626,2
4679.26264000,0.00001426,0.00003510,12
4679.64411000,0.00009912,0.00005505,8
4680.91965000,0.00004691,0.00001347,17
4683.91180000,0.00003360,0.00002059,5
4685.89067000,0.00005752,0.00005360,0
4687.05893000,0.00301137,0.00004569,3
4687.50000000,0.00072479,0.00034932,8
4692.48295000,0.00016896,0.00019379,4
4696.94138000,0.00255735,0.00218866,0
4702.05545000,0.00005118,0.00003073,5
4704.05817000,0.00008308,0.00008549,1
4704.46348000,0.00009821,0.00010180,1
4704.47540000,0.00009538,0.00010219,1
4706.77614000,0.00001372,0.00001256,0
4708.18281000,0.00006785,0.00002476,11
4709.26762000,0.00008753,0.00007623,0
4709.27954000,0.00009196,0.00007341,2
4709.76830000,0.00003181,0.00001529,8
4713.02271000,0.00176089,0.00001413,3
4713.24921000,0.00002640,0.00001779,5
4714.02407000,0.00030168,0.00013009,18
4714.03599000,0.00028775,0.00012056,11
4716.74204000,0.00017694,0.00015664,0
4718.91165000,0.00005586,0.00005163,0
4719.97261000,0.00037286,0.00035011,0
4719.98453000,0.00037330,0.00035228,0
4726.15957000,0.00001614,0.00002458,6
4734.77840000,0.00001456,0.00001140,2
4734.87377000,0.00001543,0.00001451,0
4735.42213000,0.00002362,0.00002469,1
4735.51750000,0.00008361,0.00002689,17
4735.56519000,0.00007137,0.00002001,17
4735.67247000,0.00003443,0.00002426,2
4735.72016000,0.00004460,0.00003625,0
4735.76784000,0.00003720,0.00003025,0
4735.81553000,0.00004737,0.00004294,0
4735.86321000,0.00006393,0.00005208,0
4735.91089000,0.00007129,0.00006003,0
4735.94666000,0.00007682,0.00006692,0
4735.99434000,0.00015404,0.00012940,0
4736.03010000,0.00029266,0.00024950,0
4736.14931000,0.04433415,0.03755057,0
4736.30428000,0.00012905,0.00010694,0
4736.35197000,0.00007489,0.00006913,0
4736.39965000,0.00007692,0.00006038,2
4736.44733000,0.00006679,0.00004932,2
4736.48310000,0.00003847,0.00003299,0
4736.54270000,0.00004498,0.00003650,0
4736.59039000,0.00004337,0.00003356,2
4736.63807000,0.00002854,0.00002104,2
4736.68575000,0.00002336,0.00002484,1
4736.73344000,0.00003553,0.00002490,2
4736.78112000,0.00001863,0.00001515,0
4736.82880000,0.00001661,0.00001549,0
4736.87649000,0.00002480,0.00001406,5
4736.93609000,0.00001726,0.00001602,0
4736.98378000,0.00001977,0.00001345,2
4737.07914000,0.00001896,0.00001197,5
4737.57982000,0.00001753,0.00001584,0
4746.89007000,0.00002766,0.00002090,2
4750.46635000,0.00001371,0.00006511,14
4750.47827000,0.00001438,0.00006449,14
4750.99087000,0.00002331,0.00007456,9
4751.08624000,0.00008685,0.00025171,9
4752.76709000,0.00002484,0.00024009,16
4752.81477000,0.00001499,0.00004608,9
4753.04127000,0.00004397,0.00015373,9
4753.14856000,0.00018449,0.00054020,9
4764.38999000,0.00011784,0.00001176,13
4766.08276000,0.00006086,0.00002187,11
4767.73977000,0.00001360,0.00001096,0
4780.41172000,0.00307554,0.00015458,3
4780.67398000,0.00001966,0.00007292,9
4783.36811000,0.00002262,0.00001779,2
4783.85687000,0.00002639,0.00003044,4
4784.71518000,0.00149105,0.00007871,3
4793.11943000,0.00021774,0.00018272,0
4793.13135000,0.00022938,0.00019097,0
4796.70763000,0.00004048,0.00002166,8
4796.73147000,0.00003528,0.00002585,2
4800.08125000,0.00001708,0.00001541,0
4805.75562000,0.00005153,0.00006252,4
4806.26822000,0.00004897,0.00004461,0
4806.28014000,0.00004957,0.00004395,0
4812.64591000,0.00001644,0.00001419,0
4837.62026000,0.00001982,0.00002410,4
4837.63218000,0.00002003,0.00002211,1
4845.52383000,0.00005314,0.00004261,2
4853.51086000,0.00007538,0.00018993,12
4853.57046000,0.00026438,0.00006476,7
4853.60622000,0.00020282,0.00012029,5
4855.54934000,0.00012446,0.00005080,11
4855.59702000,0.00021618,0.00002186,13
4858.73222000,0.00006372,0.00006012,0
4859.91240000,0.00011420,0.00008942,2
4860.22234000,0.00009801,0.00001423,13
4862.64229000,0.00009199,0.00008514,0
4863.16681000,0.00879262,0.00013081,3
4869.28225000,0.00003466,0.00004557,6
4871.10615000,0.00001305,0.00001182,0
4871.53530000,0.00529906,0.00027488,3
4874.71819000,0.00003344,0.00008898,12
4874.74203000,0.00002982,0.00010632,9
4876.14870000,0.00276888,0.00013801,3
4881.87075000,0.00002052,0.00005983,9
4881.88267000,0.00002107,0.00005647,12
4884.75561000,0.00051149,0.00057098,4
4884.80330000,0.00037899,0.00078277,10
4887.93850000,0.00005887,0.00001186,7
4897.71366000,0.00002379,0.00008937,9
4897.72558000,0.00002315,0.00009033,14
4905.74837000,0.00005695,0.00005291,0
4906.98814000,0.00007114,0.00008604,4
