Frequency,Intensity
2.075195310000000063e+03,1.829498990000000123e-05
2.075302599999999984e+03,1.309746010000000007e-05
2.076101299999999810e+03,1.689051629999999889e-05
2.076399330000000191e+03,8.760141560000000191e-06
2.076494689999999991e+03,3.742703939999999905e-05
2.076911930000000211e+03,8.228037050000000182e-06
2.077150340000000142e+03,1.330650060000000005e-05
2.077233790000000226e+03,1.228099269999999917e-05
2.077627179999999953e+03,8.618890369999999344e-06
2.077782150000000001e+03,8.585296320000000827e-06
2.078127860000000055e+03,9.197547140000000778e-06
2.078962329999999838e+03,9.099168180000000251e-06
2.081823350000000119e+03,1.280196569999999924e-05
2.083098890000000210e+03,9.040632570000000512e-06
2.083277700000000095e+03,1.338409119999999973e-05
2.084016799999999876e+03,4.245074990000000185e-05
2.084553240000000187e+03,9.302004959999999405e-06
2.085125450000000001e+03,1.145573359999999934e-05
2.089333529999999882e+03,8.724314629999999551e-06
2.089655400000000100e+03,8.156764800000000621e-06
2.090966699999999946e+03,9.349380539999999933e-06
2.091372010000000046e+03,1.162885829999999967e-04
2.091991899999999987e+03,9.405119679999999349e-06
2.092444899999999961e+03,8.255083219999999650e-06
2.092993260000000191e+03,2.277736569999999863e-05
2.093148229999999785e+03,9.160728919999999259e-06
2.093327049999999872e+03,1.086956110000000000e-05
2.094197270000000117e+03,2.023787460000000000e-05
2.094376090000000204e+03,8.320347580000000845e-06
2.094960210000000188e+03,1.128035430000000027e-05
2.095222470000000158e+03,8.294523879999999333e-06
2.095365519999999833e+03,1.035010640000000057e-05
2.095484730000000127e+03,8.423181090000000741e-06
2.095663550000000214e+03,1.021846400000000036e-05
2.095937730000000101e+03,8.147365260000000736e-06
2.096784110000000055e+03,7.230041330000000022e-05
2.097201349999999820e+03,8.876944329999999321e-06
2.097713949999999841e+03,8.699887349999999557e-06
2.098298069999999825e+03,8.324372340000000330e-06
2.099490170000000035e+03,8.377818639999999500e-06
2.099609370000000126e+03,1.580133360000000056e-05
2.099835869999999886e+03,8.136616119999999681e-05
2.100384239999999863e+03,8.234284099999999586e-06
2.100706099999999878e+03,1.104960530000000022e-05
2.101922039999999924e+03,2.159088140000000138e-05
2.102422709999999825e+03,3.837435290000000294e-05
2.103495600000000195e+03,9.728236659999999879e-06
2.103626729999999952e+03,8.722516590000000173e-06
2.103853230000000167e+03,9.951751450000000018e-06
2.104079720000000179e+03,9.377357119999999666e-06
2.104377750000000106e+03,1.213054660000000064e-05
2.104949950000000172e+03,4.737538659999999843e-05
2.105557920000000195e+03,1.005363049999999986e-05
2.107167240000000220e+03,9.940866590000000121e-06
2.107572560000000067e+03,1.007564160000000070e-05
2.108573910000000069e+03,1.000461430000000052e-05
2.109098430000000008e+03,1.059633439999999994e-05
2.109229560000000220e+03,9.135027270000000660e-06
2.109920979999999872e+03,1.133852879999999939e-05
2.110350129999999808e+03,4.654716189999999823e-04
2.110791209999999865e+03,9.991790149999999835e-06
2.111589910000000145e+03,9.262400140000000544e-06
2.112627030000000104e+03,9.295945219999999511e-06
2.113497260000000097e+03,1.001946450000000077e-05
