!Params
!Apodization=Kaiser
!Apodization Beta=6.0
!Band (MHz)=2000.0,8000.0
!Frequency Start (MHz)=2000.0
!Frequency Stop (MHz)=8000.0
!Gate Length (us)=20.0
!Gate Start (us)=0.0
!Normalization Reference Frequency (MHz)=2000.0
!Normalization Scale=1.0
!Normalization Slope (1/MHz)=0.000137
!Zero Pad=2
!Data
!FFT
freq	int_so2	int_water	int_deu
2958.98914	0.00001	0.00002	0.00000
6089.71119	0.00011	0.00014	0.00000
6720.82901	0.00012	0.00016	0.00000
7959.43737	0.00002	0.00051	0.00000
3705.82342	0.00002	0.00002	0.00000
7054.86536	0.00006	0.00007	0.00000
7288.68246	0.00001	0.00002	0.00000
6393.01538	0.00004	0.00008	0.00000
3449.24927	0.00002	0.00002	0.00000
7972.82457	0.00003	0.00004	0.00000
7282.32861	0.00001	0.00005	0.00000
7331.20441	0.00002	0.00004	0.00000
7719.24257	0.00002	0.00005	0.00000
6440.03153	0.00002	0.00004	0.00000
7320.32061	0.00002	0.00002	0.00000
6080.72281	0.00004	0.00006	0.00000
5443.09616	0.00003	0.00022	0.00000
6225.97933	0.00002	0.00002	0.00000
7425.08173	0.00002	0.00014	0.00000
5367.43402	0.00007	0.00016	0.00000
7220.38746	0.00002	0.00012	0.00000
7385.48040	0.00001	0.00002	0.00000
7454.13303	0.00004	0.00021	0.00000
7153.54681	0.00002	0.00006	0.00000
7493.67476	0.00002	0.00014	0.00000
7202.06499	0.00002	0.00005	0.00000
7235.67009	0.00003	0.00006	0.00000
6564.89134	0.00003	0.00017	0.00000
5003.45230	0.00002	0.00002	0.00000
7180.80997	0.00001	0.00004	0.00000
7355.36814	0.00007	0.00022	0.00000
7449.69845	0.00002	0.00012	0.00000
7234.09653	0.00001	0.00015	0.00000
6706.11858	0.00004	0.00010	0.00000
7282.97234	0.00003	0.00005	0.00000
6704.62847	0.00007	0.00024	0.00000
2984.98869	0.00002	0.00017	0.00000
6710.66046	0.00002	0.00003	0.00000
3350.75855	0.00002	0.00005	0.00000
7454.07343	0.00001	0.00009	0.00000
6364.66742	0.00002	0.00004	0.00000
6056.58293	0.00001	0.00004	0.00000
5475.31843	0.00002	0.00002	0.00000
6000.28038	0.00002	0.00003	0.00000
7216.17937	0.00001	0.00003	0.00000
5926.17989	0.00003	0.00013	0.00000
5422.47295	0.00002	0.00003	0.00000
6597.18513	0.00001	0.00016	0.00000
7396.55495	0.00001	0.00005	0.00000
6557.27386	0.00005	0.00007	0.00000
6606.10199	0.00002	0.00004	0.00000
2146.61360	0.00001	0.00002	0.00000
4909.26504	0.00003	0.00027	0.00000
6080.73473	0.00003	0.00006	0.00000
5440.59277	0.00005	0.00015	0.00000
4868.19744	0.00001	0.00003	0.00000
5124.74775	0.00002	0.00003	0.00000
6730.25846	0.00004	0.00012	0.00000
3806.88906	0.00002	0.00002	0.00000
2761.99579	0.00002	0.00022	0.00000
7314.88466	0.00001	0.00002	0.00000
7760.82277	0.00001	0.00052	0.00000
5671.42963	0.00001	0.00002	0.00000
5783.59365	0.00004	0.00030	0.00000
6225.06142	0.00002	0.00003	0.00000
5354.03490	0.00002	0.00015	0.00000
6290.35234	0.00005	0.00006	0.00000
7949.12577	0.00003	0.00005	0.00000
6722.78404	0.00002	0.00014	0.00000
6761.18135	0.00004	0.00008	0.00000
7949.05424	0.00002	0.00019	0.00000
3125.67949	0.00002	0.00003	0.00000
5003.47614	0.00002	0.00003	0.00000
4126.58453	0.00002	0.00130	0.00000
5094.96927	0.00003	0.00013	0.00000
5814.09931	0.00004	0.00028	0.00000
6720.14952	0.00002	0.00013	0.00000
3806.32877	0.00002	0.00004	0.00000
7270.76530	0.00002	0.00010	0.00000
6451.22528	0.00001	0.00005	0.00000
7717.12065	0.00001	0.00016	0.00000
7292.09185	0.00003	0.00019	0.00000
7134.44948	0.00002	0.00003	0.00000
3768.31293	0.00002	0.00005	0.00000
7134.34219	0.00001	0.00004	0.00000
7601.48764	0.00003	0.00003	0.00000
5818.53390	0.00007	0.00026	0.00000
7319.25964	0.00003	0.00004	0.00000
3182.54232	0.00002	0.00054	0.00000
7489.34746	0.00004	0.00004	0.00000
6512.09354	0.00001	0.00002	0.00000
7404.24395	0.00008	0.00014	0.00000
7204.02002	0.00002	0.00005	0.00000
4496.75322	0.00002	0.00003	0.00000
6228.66154	0.00002	0.00003	0.00000
6708.16898	0.00002	0.00003	0.00000
3182.51848	0.00002	0.00046	0.00000
5742.91945	0.00002	0.00003	0.00000
7266.62874	0.00003	0.00003	0.00000
5422.49680	0.00002	0.00003	0.00000
6894.50502	0.00001	0.00012	0.00000
5122.43509	0.00002	0.00014	0.00000
7604.75397	0.00003	0.00007	0.00000
6896.06667	0.00002	0.00032	0.00000
3806.31685	0.00002	0.00004	0.00000
6576.21622	0.00002	0.00014	0.00000
6439.36396	0.00002	0.00011	0.00000
4706.37083	0.00002	0.00002	0.00000
7337.86821	0.00001	0.00005	0.00000
6565.32049	0.00001	0.00005	0.00000
6154.00076	0.00004	0.00005	0.00000
4001.46246	0.00002	0.00023	0.00000
3788.91230	0.00001	0.00002	0.00000
7511.18660	0.00001	0.00002	0.00000
3203.12977	0.00001	0.00003	0.00000
5727.88715	0.00002	0.00009	0.00000
7391.15477	0.00002	0.00010	0.00000
7313.95483	0.00002	0.00017	0.00000
7280.33781	0.00001	0.00010	0.00000
7249.73679	0.00002	0.00003	0.00000
5553.34091	0.00002	0.00002	0.00000
5679.40474	0.00003	0.00006	0.00000
5509.38845	0.00001	0.00003	0.00000
6726.67027	0.00004	0.00004	0.00000
7280.23052	0.00002	0.00010	0.00000
2638.11350	0.00001	0.00002	0.00000
2157.62854	0.00001	0.00002	0.00000
4746.10329	0.00003	0.00003	0.00000
6896.63887	0.00002	0.00002	0.00000
5253.20768	0.00004	0.00010	0.00000
7747.82896	0.00001	0.00007	0.00000
3703.36771	0.00003	0.00005	0.00000
7753.83711	0.00003	0.00004	0.00000
4536.52143	0.00004	0.00031	0.00000
6800.77076	0.00001	0.00010	0.00000
6589.80608	0.00001	0.00002	0.00000
6593.14394	0.00001	0.00002	0.00000
6860.06546	0.00009	0.00011	0.00000
7385.42080	0.00001	0.00008	0.00000
2157.61662	0.00001	0.00002	0.00000
7713.12714	0.00003	0.00035	0.00000
7446.13409	0.00001	0.00002	0.00000
4176.93853	0.00005	0.00038	0.00000
3603.89948	0.00002	0.00006	0.00000
5362.68950	0.00002	0.00003	0.00000
5826.83086	0.00003	0.00037	0.00000
7147.10951	0.00002	0.00002	0.00000
5553.49588	0.00002	0.00002	0.00000
3124.41587	0.00002	0.00002	0.00000
7462.48960	0.00001	0.00028	0.00000
5292.61827	0.00003	0.00010	0.00000
5837.30936	0.00002	0.00010	0.00000
6688.48753	0.00001	0.00003	0.00000
7511.42502	0.00005	0.00008	0.00000
2435.35042	0.00002	0.00003	0.00000
3166.87822	0.00003	0.00023	0.00000
3151.05915	0.00004	0.00017	0.00000
3190.58895	0.00015	0.00019	0.00000
6284.97601	0.00002	0.00004	0.00000
7265.72275	0.00002	0.00008	0.00000
4618.75200	0.00007	0.00010	0.00000
6330.47819	0.00001	0.00003	0.00000
5968.14156	0.00001	0.00004	0.00000
2846.08603	0.00003	0.00020	0.00000
4711.22265	0.00002	0.00034	0.00000
2846.07410	0.00003	0.00020	0.00000
7948.26746	0.00008	0.00018	0.00000
2172.85156	0.00002	0.00003	0.00000
7851.33839	0.00002	0.00003	0.00000
6588.76896	0.00006	0.00015	0.00000
2433.25233	0.00002	0.00002	0.00000
5632.86543	0.00002	0.00002	0.00000
3791.57066	0.00003	0.00020	0.00000
2559.30424	0.00002	0.00009	0.00000
6720.78133	0.00007	0.00018	0.00000
7795.31002	0.00002	0.00022	0.00000
