freq,int_water,int_deu,cluster
2314.44836000,0.00002601,0.00001870,13
2315.55700000,0.00000000,0.00000000,0
2318.51339000,0.00000000,0.00000000,0
2320.11080000,0.00000000,0.00000000,0
2320.48035000,0.00000000,0.00000000,0
2320.94526000,0.00019457,0.00000000,0
2333.02116000,0.00000000,0.00000000,0
2342.02147000,0.00000000,0.00000000,0
2349.06673000,0.00000000,0.00000000,0
2352.89335000,0.00000000,0.00000000,0
2353.65629000,0.00000000,0.00000000,0
2355.63517000,0.00000000,0.00000000,0
2355.81398000,0.00002099,0.00000000,0
2356.71997000,0.00011629,0.00000000,0
2362.60891000,0.00000000,0.00000000,0
2363.87253000,0.00000000,0.00000000,0
2364.67123000,0.00000000,0.00000000,0
2368.16406000,0.00000000,0.00000000,0
2369.43960000,0.00000000,0.00000000,0
2370.16678000,0.00000000,0.00000000,0
2370.28599000,0.00000000,0.00000000,0
2373.87419000,0.00000000,0.00000000,0
2377.27165000,0.00014087,0.00000000,0
2377.31934000,0.00023956,0.00000000,0
2382.86257000,0.00009996,0.00000000,0
2384.75800000,0.00000000,0.00000000,0
2384.96065000,0.00000000,0.00000000,0
2387.38060000,0.00000000,0.00000000,0
2387.49981000,0.00000000,0.00000000,0
2388.22699000,0.00000000,0.00000000,0
2389.13298000,0.00000000,0.00000000,0
2391.44564000,0.00000000,0.00000000,0
2392.61389000,0.00000000,0.00000000,0
2393.47219000,0.00000000,0.00000000,0
2396.29745000,0.00000000,0.00000000,0
2409.17206000,0.00002784,0.00002399,14
2411.11517000,0.00004243,0.00000000,0
2411.91387000,0.00005698,0.00005080,14
2414.85834000,0.00025453,0.00000000,0
2416.33654000,0.00000000,0.00000000,0
2416.99219000,0.00000000,0.00000000,0
2430.72510000,0.00003225,0.00002146,12
2432.02448000,0.00000000,0.00000000,0
2432.66821000,0.00002442,0.00000000,0
2433.18081000,0.00000000,0.00000000,0
2433.25233000,0.00002169,0.00000000,0
2433.32386000,0.00002185,0.00001822,14
2433.43115000,0.00000000,0.00000000,0
2433.50267000,0.00000000,0.00000000,0
2433.68149000,0.00000000,0.00000000,0
2433.74109000,0.00001926,0.00000000,0
2433.82454000,0.00000000,0.00000000,0
2434.06296000,0.00000000,0.00000000,0
2434.12256000,0.00001880,0.00000000,0
2434.57556000,0.00000000,0.00000000,0
2434.80206000,0.00000000,0.00000000,0
2434.94511000,0.00000000,0.00000000,0
2435.13584000,0.00000000,0.00000000,0
2435.26697000,0.00000000,0.00000000,0
2435.35042000,0.00003045,0.00000000,0
2435.56499000,0.00000000,0.00000000,0
2436.08952000,0.00000000,0.00000000,0
2436.20872000,0.00000000,0.00000000,0
2436.33986000,0.00002037,0.00000000,0
2436.45906000,0.00000000,0.00000000,0
2437.12664000,0.00000000,0.00000000,0
2437.29353000,0.00000000,0.00000000,0
2437.60347000,0.00000000,0.00000000,0
2437.75845000,0.00000000,0.00000000,0
2437.82997000,0.00000000,0.00000000,0
2438.11607000,0.00000000,0.00000000,0
2438.16376000,0.00000000,0.00000000,0
2438.27105000,0.00000000,0.00000000,0
2438.52139000,0.00000000,0.00000000,0
2438.65252000,0.00001817,0.00000000,0
2438.72404000,0.00000000,0.00000000,0
2438.80749000,0.00000000,0.00000000,0
2439.04591000,0.00000000,0.00000000,0
2439.30817000,0.00000000,0.00000000,0
2439.47506000,0.00001800,0.00000000,0
2439.84461000,0.00000000,0.00000000,0
2440.44065000,0.00002288,0.00000000,0
2441.13207000,0.00000000,0.00000000,0
2441.37049000,0.00000000,0.00000000,0
2441.82348000,0.00002200,0.00000000,0
2444.13614000,0.00000000,0.00000000,0
2446.24615000,0.00000000,0.00000000,0
2446.75875000,0.00003984,0.00000000,0
2454.22125000,0.00000000,0.00000000,0
2454.44775000,0.00000000,0.00000000,0
2457.51143000,0.00000000,0.00000000,0
2465.26003000,0.00004549,0.00000000,0
2465.80839000,0.00000000,0.00000000,0
2466.64286000,0.00000000,0.00000000,0
2480.10159000,0.00000000,0.00000000,0
2480.69763000,0.00014922,0.00000000,0
2481.53210000,0.00000000,0.00000000,0
2483.06990000,0.00000000,0.00000000,0
2491.21189000,0.00000000,0.00000000,0
2497.93530000,0.00000000,0.00000000,0
2500.12875000,0.00004591,0.00000000,0
2500.77248000,0.00000000,0.00000000,0
2501.30892000,0.00000000,0.00000000,0
2503.57389000,0.00004321,0.00000000,0
2509.66549000,0.00000000,0.00000000,0
2509.97543000,0.00000000,0.00000000,0
2510.89334000,0.00012431,0.00000000,0
2512.52651000,0.00000000,0.00000000,0
2512.62188000,0.00002124,0.00000000,0
2512.82454000,0.00000000,0.00000000,0
2513.27753000,0.00004060,0.00000000,0
2514.63652000,0.00000000,0.00000000,0
2519.66715000,0.00002391,0.00000000,0
2527.95219000,0.00000000,0.00000000,0
2529.29926000,0.00000000,0.00000000,0
2531.79073000,0.00000000,0.00000000,0
2538.75256000,0.00000000,0.00000000,0
2539.51550000,0.00000000,0.00000000,0
2543.55669000,0.00000000,0.00000000,0
2545.30907000,0.00000000,0.00000000,0
2545.80975000,0.00000000,0.00000000,0
2546.39387000,0.00000000,0.00000000,0
2549.68405000,0.00019603,0.00000000,0
2549.95823000,0.00035812,0.00000000,0
2555.10807000,0.00009769,0.00000000,0
2556.37169000,0.00000000,0.00000000,0
2559.30424000,0.00009229,0.00000000,0
2560.97317000,0.00000000,0.00000000,0
2563.75074000,0.00000000,0.00000000,0
2564.21566000,0.00002218,0.00000000,0
2565.06205000,0.00000000,0.00000000,0
2570.25957000,0.00000000,0.00000000,0
2573.03715000,0.00000000,0.00000000,0
2578.12738000,0.00000000,0.00000000,0
2578.58038000,0.00000000,0.00000000,0
2579.11682000,0.00007189,0.00000000,0
2579.54597000,0.00012281,0.00000000,0
2582.37123000,0.00000000,0.00000000,0
2587.35418000,0.00000000,0.00000000,0
2587.48531000,0.00000000,0.00000000,0
2590.45362000,0.00000000,0.00000000,0
2592.01527000,0.00000000,0.00000000,0
2594.62595000,0.00000000,0.00000000,0
2597.63002000,0.00005458,0.00000000,0
2600.50297000,0.00000000,0.00000000,0
2604.47264000,0.00003498,0.00002691,13
2607.85818000,0.00000000,0.00000000,0
2608.15620000,0.00000000,0.00000000,0
2609.78937000,0.00000000,0.00000000,0
2610.20660000,0.00000000,0.00000000,0
2611.64904000,0.00000000,0.00000000,0
2614.47430000,0.00000000,0.00000000,0
2614.80808000,0.00000000,0.00000000,0
2623.51036000,0.00002293,0.00000000,0
2623.74878000,0.00001914,0.00000000,0
2624.57132000,0.00002349,0.00000000,0
2626.08528000,0.00001984,0.00000000,0
2628.17144000,0.00002123,0.00000000,0
2628.42178000,0.00002107,0.00000000,0
2629.35162000,0.00002278,0.00000000,0
2635.10942000,0.00002533,0.00000000,0
2635.70547000,0.00000000,0.00000000,0
2636.25383000,0.00000000,0.00000000,0
2636.55186000,0.00000000,0.00000000,0
2637.51745000,0.00002021,0.00000000,0
2638.11350000,0.00001995,0.00000000,0
2638.45921000,0.00000000,0.00000000,0
2643.79978000,0.00003125,0.00000000,0
2647.42374000,0.00000000,0.00000000,0
2647.49527000,0.00001898,0.00000000,0
2647.91250000,0.00002276,0.00000000,0
2648.50855000,0.00001790,0.00000000,0
2649.37878000,0.00005659,0.00004766,14
2649.64104000,0.00000000,0.00000000,0
