Frequency,Intensity_water,Intensity_deu,ratio_d/w
2001.95312,0.0000150030034,0.0000154819007,1.0319200954123626
2008.12817,9.2618317e-6,9.90242528e-6,1.0691648910009885
2016.67547,0.0000102459989,8.94361326e-6,0.8728883681609608
2028.03612,8.44488888e-6,0.0000111903081,1.3250983238514797
2028.85866,8.68678751e-6,9.9756747e-6,1.1483732839690468
2029.19245,8.93390343e-6,8.27452464e-6,0.9261936515022303
2029.562,9.63016677e-6,8.31762888e-6,0.8637055908430544
2042.16242,0.0000100638637,8.6108773e-6,0.8556234023717948
2042.53197,8.15309241e-6,9.47500252e-6,1.1621360391277598
2050.78125,0.0000174739162,0.0000119136721,0.6817974839549706
2075.19531,0.0000182949899,0.0000220790564,1.2068362169470233
2102.42271,0.0000383743529,0.0000317467419,0.827290612110882
2121.31739,0.0000246369529,0.0000295921286,1.2011277823240876
2123.27242,0.0000105647275,0.0000298568658,2.8260895323613413
2123.82078,0.0000155270676,0.0000102849953,0.6623913519897344
2125.12016,0.0000113035375,0.000013588204,1.2021196019387737
2128.02887,0.0000197083238,0.0000113563372,0.5762203480744515
2128.35073,0.0000133327609,0.000014353416,1.0765524190867324
2129.13752,9.63902602e-6,0.0000131041678,1.3594908627500522
2130.19848,0.0000122458172,0.000016532224,1.3500302780936497
2130.86605,0.00002234461,0.0000264507061,1.1837622630245057
2135.849,0.0000236434983,0.0000169566849,0.7171817251764304
2136.0755,0.0000193002013,0.0000380900512,1.973557198079587
2136.25431,0.0000166464584,0.0000232140042,1.3945311153992972
2138.26895,0.0000107057072,0.0000143297004,1.3385103975195585
2138.71002,0.0000211797729,0.0000118492016,0.559458387771476
2139.04381,0.0000307069023,0.000018324569,0.5967573290517161
2146.92354,0.0000133854489,0.0000104839667,0.7832360930383142
2147.99643,0.0000106560583,0.0000100310941,0.9413512780800007
2151.21508,0.0000141299207,8.92453554e-6,0.6316054937236839
2152.24028,0.0000106455755,0.0000269541849,2.5319612734886903
2157.46164,0.00001811315,8.40039234e-6,0.46377313388339414
2160.09617,0.0000180053308,0.0000145324482,0.8071192004981103
2160.35843,0.0000114182666,0.000014312389,1.253464251745532
2161.44323,0.0000140221178,9.81559189e-6,0.7000078040993208
2162.64725,0.0000231202072,0.0000153396152,0.6634722200932525
2162.94527,0.0000169880379,0.0000127116829,0.7482725771408834
2164.23273,9.85853873e-6,0.000018543239,1.8809318001228768
2164.70957,0.0000145054789,0.0000120803592,0.8328135377867463
2165.25793,0.000013764275,0.00002760273,2.0053893140030987
2166.25929,0.0000124012693,0.0000195148592,1.573617887646388
2167.77325,0.0000116260896,8.23814907e-6,0.7085915689141085
2172.85156,0.0000310170419,0.0000160204457,0.516504628379794
2174.90196,0.000031057673,0.0000191937947,0.6180049194284453
2181.92339,0.0000118675442,9.84763716e-6,0.8297957011190235
2185.42814,8.35320242e-6,8.79123307e-6,1.0524386490325228
2187.50238,0.000469694868,0.0000654105787,0.13926185520936968
2191.29324,0.0000222136646,0.000028170441,1.268158203847194
2193.74895,9.80211784e-6,8.50973386e-6,0.8681525767088718
2195.0841,0.0000340724641,0.0000236077806,0.6928697769176019
2197.24178,0.0000131957261,0.0000125752431,0.9529784874816399
2198.19546,8.55386262e-6,8.76932165e-6,1.0251885071775915
2200.12665,0.000227184497,0.0000137511512,0.06052856326723738
2231.55022,9.24754555e-6,9.1507503e-6,0.9895328712384662
2252.44761,0.000506076075,0.0000154581644,0.03054513968082763
2266.62159,8.22638135e-6,0.0000101056703,1.228446612191155
2270.49589,0.0000107325316,0.0000148276846,1.38156449499762
2281.80885,8.84266139e-6,8.66621907e-6,0.9800464687928074
2290.80915,0.0000146508519,9.78034001e-6,0.6675611818859489
2314.44836,0.0000260073755,0.0000187011194,0.7190698423222289
2319.34786,9.14804989e-6,9.99761356e-6,1.09286828124196
2320.94526,0.0001945731,0.0000139619558,0.07175686567156508
2326.14279,0.0000100623059,8.3131423e-6,0.8261667238719109
2340.35254,0.0000113000318,9.75128739e-6,0.8629433582655937
2348.82832,8.55157488e-6,9.899092e-6,1.1575753167000276
2398.87238,0.0000101572938,8.90553726e-6,0.876762790892196
2402.29368,0.0000268210977,0.0000260681446,0.9719268350452338
2409.17206,0.0000278390636,0.0000239877069,0.8616563848792673
2411.91387,0.0000569762588,0.0000543929647,0.9546601662796435
2430.7251,0.0000322505945,0.0000222904582,0.6911642574526805
2431.42843,0.0000106816066,0.0000105388006,0.9866306628442952
2433.32386,0.0000218475776,0.0000182192104,0.8339235925176437
2434.90934,0.0000113774776,0.000014969359,1.3157010302529621
2435.80341,0.0000102001778,0.0000152140147,1.4915440689671116
2436.1372,0.0000142506771,0.0000175793538,1.2335802486185026
2436.33986,0.000020369926,0.0000119447376,0.5863908194855494
2439.11743,0.0000113956992,9.8430924e-6,0.863755020841547
2439.47506,0.0000179959642,0.0000121583119,0.6756132522201839
2440.21416,8.93524264e-6,0.000024977195,2.795357217070493
2440.58371,0.0000111907425,0.0000109494856,0.9784413858151055
2440.94133,0.0000109046245,0.0000177270292,1.625643248880326
2441.31088,0.0000127979821,0.0000132188758,1.0328875049762727
2441.45393,0.0000109259452,0.0000108172803,0.9900544165277345
2446.75875,0.0000398427354,9.81367852e-6,0.24631036050802876
2454.49543,8.54823574e-6,0.0000104736649,1.2252428709926992
2457.85713,0.000012140574,0.0000133292212,1.0979070017612016
2459.58567,9.60147274e-6,0.0000102407131,1.0665773238450085
2466.46404,9.20547837e-6,0.0000112474111,1.2218171232311525
2470.33834,8.84708682e-6,9.9821417e-6,1.1282970206005056
