Frequency,Intensity_water,Intensity_so2,ratio_w/so2
2001.95312,0.0000150030034,0.0000225160051,0.6663261681353945
2028.85866,8.68678751e-6,9.29374803e-6,0.9346915240180017
2050.78125,0.0000174739162,0.0000119981668,1.4563821699828343
2070.31965,0.0000121438936,9.69222503e-6,1.2529520891654329
2075.19531,0.0000182949899,0.0000294359679,0.6215182039249336
2083.09889,9.04063257e-6,0.000010005625,0.9035550073083891
2099.49017,8.37781864e-6,0.0000102506782,0.8172940830393056
2099.83587,0.0000813661612,0.0000105141556,7.7387252286812265
2102.42271,0.0000383743529,0.0000110489872,3.473110449435583
2114.47477,8.99779699e-6,8.48607016e-6,1.060301979638594
2121.31739,0.0000246369529,0.000021488785,1.1465028339201124
2122.16377,0.0000106622628,0.0000200391978,0.5320703406600438
2124.02344,0.000030119434,0.0000624670777,0.48216492765436353
2125.00095,8.93889507e-6,0.0000104914451,0.8520175233057264
2125.52547,0.0000114302486,0.0000168681404,0.6776235156306856
2128.02887,0.0000197083238,0.0000157454126,1.2516867166758148
2130.4965,0.0000146188342,0.0000112581595,1.2985101339166496
2133.50058,0.0000196649888,8.97150855e-6,2.19193780961174
2134.10854,0.0000186963728,9.61028875e-6,1.9454538033521627
2141.70218,0.0000105562306,9.12822867e-6,1.1564380102235103
2145.83874,0.0000119677798,9.32205632e-6,1.2838132906710438
2147.74609,8.19668147e-6,8.86369179e-6,0.9247480242089962
2151.21508,0.0000141299207,9.45377853e-6,1.4946320833686804
2151.70383,0.0000155352414,8.49242235e-6,1.8293062638364894
2153.64695,0.0000135690864,8.71007431e-6,1.5578611521627765
2156.28147,0.0000180686247,0.0000143349604,1.2604586406810026
2157.93848,0.0000123819674,0.0000101946679,1.2145532862330906
2159.90543,8.7836485e-6,0.000018111579,0.4849741979978664
2160.35843,0.0000114182666,0.0000102463383,1.1143753276231374
2161.87239,0.0000184973541,9.65645832e-6,1.9155422709886456
2163.0764,0.0000135927244,0.0000106560812,1.275583785904334
2163.98239,0.0000234911228,0.0000147149379,1.5964133154785518
2164.35194,0.0000163432341,0.0000191962421,0.8513767442014081
2164.93607,0.0000168730589,0.0000130237237,1.2955633341637922
2187.50238,0.000469694868,0.000352521771,1.3323854202468532
2191.29324,0.0000222136646,0.000053514286,0.41509784135025185
2195.0841,0.0000340724641,0.0000909992357,0.3744258271830738
2200.12665,0.000227184497,0.0000373008376,6.090600415900581
2250.55218,8.93141556e-6,8.6224044e-6,1.0358381659760705
2252.44761,0.000506076075,0.0000122001282,41.48120959909257
2252.70987,0.0000109994326,9.57701919e-6,1.1485236044515017
2253.00789,9.6662832e-6,9.11350273e-6,1.060655105547985
2265.63215,0.0000220036285,0.0000201234163,1.0934340457887362
2304.98314,0.0000138767944,9.4825631e-6,1.4634012190227346
2314.44836,0.0000260073755,0.0000286075968,0.909107314459913
2319.34786,9.14804989e-6,0.0000161195406,0.5675130648574439
2320.94526,0.0001945731,0.0000372715692,5.220416102040587
2329.64754,8.81649167e-6,9.09292891e-6,0.9695986581731673
2333.98676,0.000010856908,0.0000104870547,1.0352676047355793
2358.29353,0.0000136024049,9.21185185e-6,1.4766200240182978
2363.87253,0.0000165550412,0.0000229363962,0.7217803989625885
2384.55534,0.0000103433511,9.30196271e-6,1.1119536190873418
2401.11351,0.0000134483086,0.0000105737279,1.2718606651491382
2402.29368,0.0000268210977,0.0000114558904,2.341249502526665
2409.17206,0.0000278390636,0.0000900959829,0.3089933946433477
2411.66353,0.0000100573564,8.99377867e-6,1.1182570495700224
2411.91387,0.0000569762588,0.0000144956897,3.9305655666732435
2430.7251,0.0000322505945,0.0000342898144,0.9405298647519071
2432.28674,0.0000144780243,0.0000146562576,0.9878390988433501
2433.32386,0.0000218475776,0.0000194301172,1.124418209891189
2433.44307,0.0000154906232,0.0000174007789,0.8902258507520029
2433.65765,0.0000117253128,0.0000162749351,0.7204522001442575
2434.30138,9.94079676e-6,9.63679503e-6,1.031545937114323
2435.04047,9.67357383e-6,0.0000135376076,0.7145704112445984
2435.87494,0.0000118246842,0.0000185665493,0.6368810923847869
2438.55715,0.0000120764267,0.0000149126131,0.8098129160207341
2438.9267,0.0000143661222,0.0000225986162,0.6357080483538633
2439.11743,0.0000113956992,0.0000210724679,0.5407861696161369
2439.47506,0.0000179959642,8.82111745e-6,2.04010028230607
2440.04726,8.54032257e-6,0.0000168764459,0.5060498294845363
2440.94133,0.0000109046245,0.0000104017741,1.0483427533770417
2441.17975,9.16287562e-6,9.13488071e-6,1.0030646169215274
2455.17492,0.0000110442289,9.5328172e-6,1.1585482725924925
2455.78289,0.00001034685,0.0000131370474,0.7876084849933632
2473.18745,9.94212824e-6,9.46118533e-6,1.0508332617135194
2474.30801,9.94805518e-6,8.72792098e-6,1.1397966597997315
2480.45921,0.000021661558,0.0000212613351,1.018823977803727
2485.09645,0.0000162119704,0.0000189491683,0.8555504992796967
2487.63561,0.0000114495311,0.0000117040344,0.9782550792912913
2490.22245,8.32805539e-6,0.0000214437831,0.38836689175428185
2492.20133,0.0000118064178,9.05704222e-6,1.3035621909687864
2497.94722,9.87084323e-6,0.0000136142607,0.7250370363482169
2499.99762,0.000261961527,0.000865939005,0.30251729681584216
2510.89334,0.000124307447,0.0000147327554,8.437488007165312
2515.20872,0.0000226812664,0.0000264824334,0.8564645875782699
2519.66715,0.0000239078435,0.0000163093137,1.465901259842712
2520.13206,8.17994669e-6,9.49066357e-6,0.861894074072631
2539.07442,0.0000138590313,0.0000165436796,0.837723628303343
