Frequency,Intensity
2.132296560000000227e+03,1.455228829999999990e-05
2.132451529999999821e+03,1.390578460000000080e-05
2.132666110000000117e+03,0.000000000000000000e+00
2.132952209999999923e+03,1.313977469999999924e-05
2.133131030000000010e+03,1.223817610000000011e-05
2.133512499999999818e+03,0.000000000000000000e+00
2.133643630000000030e+03,1.150329410000000067e-05
2.133786680000000160e+03,1.107194940000000030e-05
2.133905889999999999e+03,0.000000000000000000e+00
2.134120460000000094e+03,2.175904900000000025e-05
2.134335039999999935e+03,0.000000000000000000e+00
2.134454249999999774e+03,1.938942320000000053e-05
2.134537699999999859e+03,0.000000000000000000e+00
2.134776119999999992e+03,0.000000000000000000e+00
2.134978770000000168e+03,1.135751500000000031e-05
2.135276789999999892e+03,0.000000000000000000e+00
2.135574819999999818e+03,1.065060839999999928e-05
2.135789389999999912e+03,1.138027909999999927e-05
2.135944370000000163e+03,1.914372689999999994e-05
2.136099340000000211e+03,3.182443460000000245e-05
2.136409279999999853e+03,0.000000000000000000e+00
2.136552329999999984e+03,8.270011410000000114e-06
2.136886120000000119e+03,1.068960290000000004e-05
2.137124539999999797e+03,1.173756220000000017e-05
2.137756350000000111e+03,1.643432170000000157e-05
2.137851720000000114e+03,0.000000000000000000e+00
2.138066290000000208e+03,0.000000000000000000e+00
2.138185500000000047e+03,1.190206629999999924e-05
2.138304709999999886e+03,1.046989880000000022e-05
2.138495449999999892e+03,1.408359809999999960e-05
2.138614649999999983e+03,1.626914679999999847e-05
2.138805389999999989e+03,1.739476840000000045e-05
2.138972279999999955e+03,0.000000000000000000e+00
2.139079569999999876e+03,1.697463520000000071e-05
2.141714100000000144e+03,0.000000000000000000e+00
2.141797540000000026e+03,0.000000000000000000e+00
2.142035960000000159e+03,0.000000000000000000e+00
2.144372460000000046e+03,0.000000000000000000e+00
2.145731450000000223e+03,1.250328430000000043e-05
2.145850660000000062e+03,2.028569049999999859e-05
2.146029469999999947e+03,9.698499440000000064e-06
2.146172520000000077e+03,2.160494989999999893e-05
2.146303649999999834e+03,0.000000000000000000e+00
2.146410940000000210e+03,2.007013539999999831e-05
2.146947380000000067e+03,8.330968379999999590e-06
2.147185800000000199e+03,0.000000000000000000e+00
2.147555350000000089e+03,8.601681369999999286e-06
2.147758010000000013e+03,8.988049470000000266e-06
2.148199079999999867e+03,0.000000000000000000e+00
2.148365969999999834e+03,8.694934380000000164e-06
2.148485180000000128e+03,0.000000000000000000e+00
2.148902419999999893e+03,1.117554249999999957e-05
2.149033550000000105e+03,0.000000000000000000e+00
2.149307729999999992e+03,0.000000000000000000e+00
2.149391169999999875e+03,0.000000000000000000e+00
2.149581909999999880e+03,1.772039719999999894e-05
2.149760720000000219e+03,0.000000000000000000e+00
2.149844169999999849e+03,1.306187489999999941e-05
2.149975300000000061e+03,2.446899029999999981e-05
2.150106429999999818e+03,1.256226260000000069e-05
2.150261399999999867e+03,1.316973830000000075e-05
2.150559429999999793e+03,0.000000000000000000e+00
2.150762079999999969e+03,1.653128500000000108e-05
2.150857449999999972e+03,1.542904830000000030e-05
2.151203160000000025e+03,8.779090450000000235e-06
2.151310440000000199e+03,1.739701980000000114e-05
2.151393889999999828e+03,1.653500130000000099e-05
2.151548859999999877e+03,1.943521159999999959e-05
2.151691910000000007e+03,2.203363359999999848e-05
2.151942250000000058e+03,1.095942240000000042e-05
2.152395250000000033e+03,0.000000000000000000e+00
2.152466769999999997e+03,2.046249109999999965e-05
2.152597900000000209e+03,0.000000000000000000e+00
2.152895930000000135e+03,0.000000000000000000e+00
2.153301239999999780e+03,1.287891590000000013e-05
2.153396609999999782e+03,8.229582900000000174e-06
2.153539659999999913e+03,0.000000000000000000e+00
2.153646949999999833e+03,1.757821149999999862e-05
2.153813839999999800e+03,1.061584600000000007e-05
2.154052259999999933e+03,1.236067339999999931e-05
2.155411239999999907e+03,0.000000000000000000e+00
2.155554290000000037e+03,1.080520370000000062e-05
