Frequency,Intensity
2.057600019999999859e+03,8.868034819999999306e-06
2.057969570000000203e+03,1.408411180000000084e-05
2.058577540000000226e+03,1.155015099999999925e-05
2.059042449999999917e+03,9.478776179999999344e-06
2.060353759999999966e+03,8.159309320000000733e-06
2.061426640000000134e+03,1.072833600000000041e-05
2.062416079999999965e+03,9.443417219999999444e-06
2.062690259999999853e+03,1.011187089999999959e-05
2.064347270000000208e+03,9.173856190000000062e-06
2.064514160000000174e+03,1.077840629999999957e-05
2.064776420000000144e+03,9.099905159999999981e-06
2.064895629999999983e+03,9.646529690000000645e-06
2.065169809999999870e+03,9.168664900000000138e-06
2.066302299999999832e+03,8.335687289999999929e-06
2.068364619999999832e+03,1.042272890000000040e-05
2.068459989999999834e+03,1.043623199999999932e-05
2.069997789999999895e+03,8.139976749999999720e-06
2.070653440000000046e+03,1.025628010000000061e-05
2.071189879999999903e+03,1.116170530000000038e-05
2.071380619999999908e+03,9.750909769999999756e-06
2.071726320000000214e+03,8.901952220000000385e-06
2.071821690000000217e+03,8.561635590000000044e-06
2.072346210000000156e+03,8.129334099999999854e-06
2.073395250000000033e+03,8.590395140000000530e-06
2.073478700000000117e+03,8.830837209999999464e-06
2.073967459999999846e+03,1.067031499999999950e-05
2.074205879999999979e+03,9.525626650000000651e-06
2.075195310000000063e+03,2.207905639999999947e-05
2.075779439999999795e+03,1.013296579999999983e-05
2.077066899999999805e+03,8.316516220000000727e-06
2.077281480000000101e+03,1.156849089999999989e-05
2.081382270000000062e+03,1.049392390000000032e-05
2.082300189999999930e+03,8.264299909999999686e-06
2.083146569999999883e+03,8.850056250000000517e-06
2.083337309999999889e+03,1.061142289999999938e-05
2.084529399999999896e+03,8.244214869999999716e-06
2.085030079999999998e+03,9.441442759999999190e-06
2.085244659999999840e+03,8.892606589999999759e-06
2.086126800000000003e+03,1.236683989999999938e-05
2.086222170000000006e+03,1.243982240000000068e-05
2.087032790000000205e+03,9.084670089999999314e-06
2.088034149999999954e+03,8.844206649999999305e-06
2.088415620000000217e+03,1.204264780000000029e-05
2.090477940000000217e+03,1.066609709999999947e-05
2.091109750000000076e+03,1.200355110000000064e-05
2.091348170000000209e+03,1.130752710000000021e-05
2.092087269999999990e+03,9.766568469999999986e-06
2.092277999999999793e+03,8.283593670000000735e-06
2.092838290000000143e+03,1.311144499999999928e-05
2.093315120000000206e+03,1.493392709999999991e-05
2.094316479999999956e+03,1.163257979999999980e-05
2.094483380000000125e+03,9.247586389999999318e-06
2.094602580000000216e+03,8.305989420000000766e-06
2.095186709999999948e+03,9.336734910000000541e-06
2.095997330000000147e+03,1.396904590000000049e-05
2.097749710000000050e+03,1.329579649999999941e-05
2.098238469999999779e+03,9.331761489999999175e-06
2.098321910000000116e+03,9.353917360000000639e-06
2.098858360000000175e+03,8.759685749999999516e-06
2.099585529999999835e+03,1.895024309999999949e-05
2.101576329999999871e+03,9.701081619999999992e-06
2.102422709999999825e+03,3.174674190000000213e-05
2.103018759999999929e+03,8.933134929999999514e-06
2.104413509999999860e+03,8.195517720000000466e-06
2.104699610000000121e+03,9.097923489999999196e-06
2.105367180000000189e+03,1.031968519999999931e-05
2.106344700000000103e+03,1.258304499999999939e-05
2.106845380000000205e+03,1.087287560000000012e-05
2.107393739999999980e+03,1.094554879999999963e-05
2.108526229999999941e+03,8.807735320000000613e-06
2.110326289999999972e+03,1.295642049999999956e-05
2.110755439999999908e+03,1.002759370000000079e-05
2.111172680000000128e+03,8.393406949999999983e-06
2.111613749999999982e+03,8.254880699999999388e-06
2.112448220000000219e+03,1.022135009999999992e-05
2.113616469999999936e+03,1.670152440000000136e-05
2.114546299999999974e+03,8.311484859999999672e-06
2.114665509999999813e+03,8.646583399999999435e-06
2.115297320000000127e+03,8.532070210000000161e-06
2.115583419999999933e+03,8.216789169999999298e-06
2.117180820000000040e+03,9.778617199999999567e-06
2.117288109999999961e+03,9.109283199999999378e-06
2.117562289999999848e+03,1.265500559999999995e-05
2.117931840000000193e+03,1.033378970000000039e-05
2.118551730000000134e+03,9.545803559999999514e-06
2.118647100000000137e+03,8.412053730000000821e-06
2.118778229999999894e+03,9.751324119999999537e-06
2.120494839999999840e+03,8.153851859999999415e-06
2.120697500000000218e+03,8.305613839999999957e-06
2.120804790000000139e+03,1.134021789999999957e-05
2.121162409999999909e+03,1.749612519999999832e-05
2.121329310000000078e+03,2.959212860000000038e-05
2.121448519999999917e+03,2.916774009999999962e-05
2.121591570000000047e+03,2.191469529999999990e-05
2.121782299999999850e+03,2.947675060000000164e-05
2.121925349999999980e+03,2.098927250000000056e-05
2.122032639999999901e+03,1.959775420000000137e-05
2.122247220000000198e+03,2.589494529999999961e-05
2.122330669999999827e+03,2.683303629999999869e-05
2.122557159999999840e+03,1.378787500000000053e-05
2.122700209999999970e+03,1.353607959999999957e-05
2.122795579999999973e+03,1.995062079999999926e-05
2.123034000000000106e+03,2.868035799999999914e-05
2.123272419999999784e+03,2.985686579999999914e-05
2.123522759999999835e+03,1.898441649999999916e-05
2.123689649999999801e+03,8.385218199999999730e-06
2.123808860000000095e+03,1.028499530000000010e-05
2.123999600000000100e+03,2.178350119999999832e-05
2.124118800000000192e+03,2.145810460000000102e-05
2.124238010000000031e+03,1.522054510000000076e-05
2.124476430000000164e+03,1.478080910000000040e-05
2.124691010000000006e+03,1.136993390000000076e-05
2.124786380000000008e+03,1.045902459999999960e-05
2.124929430000000139e+03,8.899935350000000661e-06
2.125120159999999942e+03,1.358820400000000073e-05
2.125358580000000075e+03,1.648429460000000061e-05
2.125597000000000207e+03,1.956700239999999941e-05
2.125930789999999888e+03,2.291765559999999900e-05
2.126193049999999857e+03,2.785994320000000155e-05
2.126455309999999827e+03,1.626077079999999934e-05
2.126586440000000039e+03,2.842958359999999947e-05
2.126789090000000215e+03,1.275076640000000005e-05
2.126884460000000217e+03,2.237519470000000034e-05
2.126979830000000220e+03,2.961104759999999978e-05
2.127099040000000059e+03,1.283023450000000063e-05
2.127194399999999860e+03,9.457359799999999305e-06
2.127349380000000110e+03,1.456233200000000035e-05
2.127456670000000031e+03,2.832402150000000069e-05
2.127587799999999788e+03,2.975666980000000062e-05
2.127730849999999919e+03,1.557433409999999888e-05
2.127933500000000095e+03,1.042373270000000029e-05
2.128028870000000097e+03,1.135633719999999943e-05
2.128136160000000018e+03,1.075925590000000017e-05
2.128338810000000194e+03,1.435341599999999925e-05
2.128529550000000199e+03,1.922187750000000153e-05
2.128779889999999796e+03,1.185937839999999990e-05
2.128934859999999844e+03,1.617109970000000024e-05
2.129137520000000222e+03,1.310416779999999991e-05
2.129268649999999980e+03,1.596856939999999984e-05
2.129530909999999949e+03,1.184792590000000003e-05
2.129685879999999997e+03,1.468945350000000002e-05
2.129817010000000209e+03,1.595171720000000150e-05
2.130019659999999931e+03,1.018497509999999978e-05
2.130186560000000100e+03,1.653222399999999969e-05
2.130377289999999903e+03,2.321812359999999973e-05
2.130556109999999990e+03,2.677148729999999865e-05
2.130854130000000168e+03,2.645070609999999870e-05
2.130973340000000007e+03,2.225191569999999844e-05
2.131104470000000219e+03,3.154686530000000021e-05
2.131247519999999895e+03,1.736305010000000135e-05
2.131485940000000028e+03,1.765724000000000037e-05
2.131724360000000161e+03,1.934785100000000084e-05
2.131855489999999918e+03,2.510568640000000067e-05
2.131974700000000212e+03,1.217398950000000028e-05
2.132105829999999969e+03,1.629986980000000098e-05
2.132236960000000181e+03,2.057060740000000147e-05
2.132499220000000150e+03,1.736875889999999834e-05
2.132773400000000038e+03,1.728884920000000014e-05
2.133011820000000171e+03,2.056159410000000167e-05
2.133202549999999974e+03,1.820328000000000099e-05
2.133405209999999897e+03,1.783565590000000072e-05
2.133595940000000155e+03,1.572254400000000103e-05
2.133786680000000160e+03,1.107194940000000030e-05
2.134180069999999887e+03,2.837947479999999999e-05
2.134442329999999856e+03,1.971102719999999855e-05
2.134680749999999989e+03,8.164020080000000096e-06
2.134895320000000083e+03,2.484609289999999840e-05
2.135014529999999922e+03,1.579399460000000148e-05
2.135169510000000173e+03,1.235162300000000004e-05
2.135360239999999976e+03,1.142044450000000002e-05
2.135515210000000025e+03,1.846723070000000165e-05
2.135658260000000155e+03,2.474337660000000165e-05
2.135849000000000160e+03,1.695668490000000049e-05
2.135968209999999999e+03,1.983895129999999838e-05
2.136063580000000002e+03,3.809005119999999892e-05
2.136254309999999805e+03,2.321400419999999914e-05
2.136468890000000101e+03,2.095891259999999932e-05
2.136623860000000150e+03,2.049656239999999869e-05
2.136838439999999991e+03,1.227537209999999941e-05
2.137017249999999876e+03,2.126710459999999896e-05
2.137207980000000134e+03,2.078026590000000030e-05
2.137327189999999973e+03,1.836943470000000162e-05
2.137494090000000142e+03,1.954501520000000099e-05
2.137768270000000030e+03,1.699769359999999871e-05
2.137958999999999833e+03,1.380662570000000056e-05
2.138173580000000129e+03,1.219912219999999987e-05
2.138268950000000132e+03,1.432970040000000081e-05
2.138388159999999971e+03,8.257912370000000782e-06
2.138495449999999892e+03,1.408359809999999960e-05
2.138638500000000022e+03,1.864709479999999950e-05
2.138710019999999986e+03,1.184920160000000071e-05
2.138805389999999989e+03,1.739476840000000045e-05
2.138948440000000119e+03,8.164214090000000617e-06
2.139055730000000040e+03,1.832456899999999921e-05
2.139413360000000011e+03,8.272567900000000237e-06
2.140796179999999822e+03,1.116448389999999920e-05
2.141427990000000136e+03,1.122113149999999951e-05
2.142202850000000126e+03,1.009965280000000078e-05
2.143192289999999957e+03,8.247722469999999384e-06
2.143752570000000105e+03,1.199397000000000030e-05
2.144896979999999985e+03,9.808466320000000841e-06
2.145636080000000220e+03,1.601190569999999988e-05
2.145874499999999898e+03,2.293236839999999974e-05
2.146053309999999783e+03,1.361359999999999956e-05
2.146208290000000034e+03,2.455048150000000090e-05
2.146387099999999919e+03,2.460010600000000160e-05
2.146542069999999967e+03,1.385649839999999951e-05
2.146708970000000136e+03,1.776499360000000067e-05
2.146828169999999773e+03,1.196541720000000038e-05
2.146911619999999857e+03,1.048396669999999982e-05
2.147006989999999860e+03,9.209763599999999569e-06
2.147102359999999862e+03,9.123612859999999836e-06
2.147269249999999829e+03,1.151251789999999960e-05
2.147388460000000123e+03,9.600845369999999669e-06
2.147662640000000010e+03,2.546957410000000140e-05
2.147912980000000061e+03,2.382169470000000081e-05
2.148008350000000064e+03,1.003109409999999975e-05
2.148413660000000164e+03,1.266808969999999937e-05
2.148687840000000051e+03,9.525986039999999270e-06
2.148950100000000020e+03,1.253949399999999938e-05
2.149128909999999905e+03,1.355476349999999953e-05
2.149248120000000199e+03,1.195815240000000025e-05
2.149355410000000120e+03,8.381958649999999254e-06
2.149593829999999798e+03,1.849715639999999908e-05
2.149820330000000013e+03,1.498409780000000073e-05
2.149939539999999852e+03,2.762267870000000006e-05
2.150106429999999818e+03,1.256226260000000069e-05
2.150332930000000033e+03,2.343628790000000013e-05
2.150630950000000212e+03,1.767539090000000066e-05
2.150738240000000133e+03,1.754748690000000047e-05
2.150821690000000217e+03,1.468359999999999948e-05
2.150928969999999936e+03,2.328883129999999931e-05
2.151095870000000104e+03,1.491639279999999932e-05
2.151215079999999944e+03,8.924535540000000445e-06
2.151346210000000156e+03,1.918285490000000090e-05
2.151525020000000040e+03,2.141008689999999970e-05
2.151679990000000089e+03,2.253023060000000161e-05
2.151894569999999931e+03,1.531838739999999977e-05
2.152240279999999984e+03,2.695418490000000091e-05
2.152490620000000035e+03,2.369883719999999857e-05
2.152800560000000132e+03,1.873628730000000145e-05
2.153301239999999780e+03,1.287891590000000013e-05
2.153658870000000206e+03,1.827884930000000076e-05
2.153825760000000173e+03,1.090342309999999917e-05
2.153897289999999884e+03,1.078017049999999986e-05
2.154111859999999979e+03,1.644648060000000078e-05
2.154266830000000027e+03,1.520324140000000065e-05
2.154409889999999905e+03,3.287801030000000150e-05
2.154576779999999872e+03,2.300872909999999972e-05
2.155148979999999938e+03,1.098484039999999943e-05
2.155542370000000119e+03,1.103243770000000041e-05
2.155697349999999915e+03,1.478318080000000084e-05
2.155947689999999966e+03,1.421586930000000057e-05
2.156114579999999933e+03,1.549042020000000123e-05
2.156305310000000190e+03,9.844018699999999757e-06
2.156388759999999820e+03,1.115019170000000037e-05
2.156555649999999787e+03,1.523899260000000039e-05
2.156746389999999792e+03,1.849686510000000161e-05
2.156925200000000132e+03,2.479885759999999936e-05
2.157258989999999812e+03,2.132123009999999875e-05
2.157449720000000070e+03,8.400392340000000662e-06
2.157640460000000076e+03,1.072837760000000054e-05
2.157735819999999876e+03,1.676435129999999905e-05
2.157914639999999963e+03,2.248018839999999893e-05
2.158200740000000224e+03,1.429379910000000081e-05
2.158474920000000111e+03,1.351914760000000059e-05
2.158725260000000162e+03,1.973869580000000044e-05
2.158939840000000004e+03,1.763369369999999900e-05
2.159273619999999937e+03,1.037202680000000062e-05
2.159452440000000024e+03,2.025877080000000071e-05
2.159595490000000154e+03,1.089188780000000049e-05
2.159786219999999958e+03,1.781854649999999943e-05
2.159976959999999963e+03,1.322469859999999978e-05
2.160084249999999884e+03,1.453244819999999949e-05
2.160370350000000144e+03,1.431238900000000030e-05
2.160513399999999820e+03,2.360588499999999938e-05
2.160632610000000113e+03,8.940548530000000699e-06
2.160727980000000116e+03,9.000830359999999458e-06
2.160847189999999955e+03,2.416840859999999872e-05
2.161014079999999922e+03,8.535740150000000452e-06
2.161133290000000216e+03,9.864548240000000669e-06
2.161216739999999845e+03,9.376805570000000249e-06
2.161312100000000100e+03,1.397437179999999976e-05
2.161431309999999939e+03,9.815591889999999685e-06
2.161824700000000121e+03,2.582392540000000002e-05
2.162075040000000172e+03,3.960553139999999669e-05
2.162170410000000174e+03,4.716699080000000309e-05
2.162349220000000059e+03,1.624906040000000034e-05
2.162539960000000065e+03,1.504462690000000051e-05
2.162635330000000067e+03,1.533961519999999887e-05
2.162802220000000034e+03,1.575158479999999917e-05
2.162957190000000082e+03,1.271168289999999915e-05
2.163028719999999794e+03,1.302631059999999960e-05
2.163338659999999891e+03,1.401673460000000014e-05
2.163529399999999896e+03,1.624388529999999922e-05
2.163755889999999908e+03,3.295573029999999709e-05
2.164065840000000208e+03,2.770160110000000021e-05
2.164232730000000174e+03,1.854323899999999893e-05
2.164399620000000141e+03,1.251162399999999959e-05
2.164506910000000062e+03,1.844215839999999924e-05
2.164697650000000067e+03,1.208035919999999980e-05
2.164983749999999873e+03,1.525624120000000010e-05
2.165269850000000133e+03,2.760273000000000126e-05
2.165448670000000220e+03,1.123523640000000035e-05
2.165591719999999896e+03,1.598066330000000128e-05
2.165675159999999778e+03,8.889356409999999179e-06
2.165818209999999908e+03,2.100619649999999931e-05
2.166056630000000041e+03,1.653853449999999865e-05
2.166259289999999964e+03,1.951485919999999951e-05
2.166605000000000018e+03,1.419663100000000038e-05
2.166712280000000192e+03,1.739934250000000086e-05
2.166831490000000031e+03,1.417696949999999986e-05
2.166986469999999827e+03,1.056240489999999944e-05
2.167153359999999793e+03,9.142433110000000801e-06
2.167284490000000005e+03,1.623100700000000010e-05
2.167403699999999844e+03,9.574571480000000504e-06
2.167546749999999975e+03,1.340366890000000036e-05
2.167785170000000107e+03,8.238149069999999439e-06
2.167952060000000074e+03,2.457200910000000078e-05
2.168178559999999834e+03,1.681278540000000145e-05
2.168285850000000210e+03,9.171887100000000441e-06
2.168405060000000049e+03,1.264008899999999939e-05
2.168583869999999933e+03,1.379171100000000054e-05
2.168715000000000146e+03,1.925137600000000106e-05
2.168810370000000148e+03,2.233451490000000047e-05
2.168941499999999905e+03,1.892675449999999863e-05
2.169132230000000163e+03,2.496712789999999850e-05
2.169525619999999890e+03,1.044344399999999935e-05
2.169740200000000186e+03,9.421073859999999934e-06
2.169871329999999944e+03,8.567012480000000686e-06
2.170181270000000040e+03,9.232029399999999792e-06
2.170240879999999834e+03,8.177637339999999777e-06
2.171325679999999920e+03,1.451658329999999920e-05
2.171540260000000217e+03,9.716683489999999689e-06
2.171683309999999892e+03,8.435116400000000126e-06
2.172410490000000209e+03,8.597578680000000231e-06
2.172851560000000063e+03,1.602044570000000099e-05
2.173042300000000068e+03,9.447963020000000114e-06
2.173340319999999792e+03,8.640777179999999306e-06
2.173709870000000137e+03,9.931930210000000680e-06
2.173805240000000140e+03,1.213443910000000019e-05
2.174067500000000109e+03,1.083458029999999968e-05
2.174735070000000178e+03,1.481446590000000060e-05
2.174901960000000145e+03,1.919379470000000062e-05
2.175199990000000071e+03,1.042775449999999920e-05
2.175998689999999897e+03,9.341012650000000796e-06
2.177083489999999983e+03,1.113346929999999939e-05
2.177405360000000201e+03,9.244007349999999694e-06
2.177846430000000055e+03,9.599053359999999506e-06
2.178049089999999978e+03,1.081539060000000045e-05
2.178859710000000177e+03,1.006452700000000048e-05
2.178978920000000016e+03,9.301844940000000421e-06
2.179098129999999855e+03,1.011832159999999976e-05
2.179563050000000203e+03,1.241240790000000023e-05
2.180147170000000187e+03,1.016445679999999983e-05
2.180457120000000032e+03,1.302226329999999925e-05
2.181923389999999927e+03,9.847637160000000499e-06
2.182960509999999886e+03,8.515997540000000258e-06
2.183377739999999903e+03,9.787797070000000293e-06
2.184009550000000218e+03,9.137533329999999749e-06
2.185332780000000184e+03,9.496651169999999751e-06
2.185416220000000067e+03,8.791233070000000529e-06
2.185833450000000084e+03,1.275049190000000084e-05
2.186501029999999901e+03,8.148989079999999596e-06
2.187502379999999903e+03,6.541057870000000125e-05
2.187824250000000120e+03,8.929874520000000577e-06
2.188098430000000008e+03,9.285994049999999920e-06
2.188646789999999783e+03,1.019366159999999995e-05
2.188837529999999788e+03,8.227089379999999563e-06
2.189087869999999839e+03,1.023862810000000040e-05
2.189493179999999938e+03,1.027239219999999976e-05
2.189874650000000202e+03,9.347754109999999441e-06
2.190005779999999959e+03,8.658697439999999817e-06
2.191042899999999918e+03,9.952998849999999256e-06
2.191281320000000051e+03,2.817044099999999933e-05
2.192080019999999877e+03,8.249724339999999753e-06
2.192294600000000173e+03,8.959084650000000342e-06
2.192616460000000188e+03,9.039822389999999523e-06
2.193748950000000150e+03,8.509733859999999610e-06
2.193963529999999992e+03,1.086451369999999921e-05
2.194392679999999928e+03,1.124057619999999964e-05
2.194583419999999933e+03,1.099787480000000026e-05
2.195084100000000035e+03,2.360778059999999945e-05
2.195787429999999858e+03,8.358821839999999940e-06
2.195882799999999861e+03,1.008519989999999966e-05
2.197229859999999917e+03,1.257524310000000039e-05
2.197825910000000022e+03,1.205212050000000044e-05
2.198195459999999912e+03,8.769321650000000445e-06
2.199006080000000111e+03,8.219449929999999248e-06
2.199375630000000001e+03,8.972305620000000110e-06
2.199697490000000016e+03,8.962435009999999676e-06
2.199935910000000149e+03,1.393318930000000043e-05
2.200126650000000154e+03,1.375115120000000059e-05
2.200293540000000121e+03,1.118234419999999989e-05
2.200376990000000205e+03,1.066367749999999934e-05
2.200567720000000008e+03,1.088851879999999961e-05
2.200889590000000226e+03,1.385887009999999995e-05
2.201628679999999804e+03,8.660801459999999946e-06
2.202951910000000225e+03,9.353018500000000684e-06
2.203083039999999983e+03,8.935675360000000248e-06
2.203440669999999955e+03,1.109328229999999990e-05
2.203989030000000184e+03,8.278229030000000272e-06
2.204251290000000154e+03,8.431545960000000358e-06
2.204680440000000090e+03,8.550214209999999559e-06
2.204859260000000177e+03,8.609590300000000509e-06
2.205419539999999870e+03,1.032936490000000073e-05
2.206325530000000072e+03,1.175317789999999943e-05
2.206850050000000010e+03,1.256061810000000051e-05
2.207016939999999977e+03,1.809633529999999873e-05
2.207410339999999906e+03,1.073377150000000084e-05
2.208161349999999857e+03,9.572950720000000463e-06
2.209961409999999887e+03,8.329556190000000370e-06
2.210271360000000186e+03,1.328134820000000057e-05
2.210986609999999928e+03,9.100164040000000555e-06
2.211141590000000178e+03,8.934731919999999939e-06
2.211487290000000030e+03,1.033203499999999941e-05
2.212107179999999971e+03,9.850328479999999497e-06
2.213048929999999928e+03,1.288541630000000059e-05
2.213311200000000099e+03,8.584698909999999801e-06
2.213454249999999774e+03,1.047297370000000024e-05
2.214205269999999928e+03,9.152146040000000153e-06
2.214801309999999830e+03,9.797971929999999650e-06
2.215719219999999950e+03,1.040207329999999918e-05
2.215850350000000162e+03,9.906098050000000242e-06
2.216780189999999948e+03,9.826784740000000636e-06
2.217221259999999802e+03,9.549363929999999810e-06
2.217698100000000068e+03,1.001647040000000077e-05
2.218711380000000190e+03,8.969209309999999711e-06
2.218842509999999947e+03,1.094763959999999967e-05
2.218925949999999830e+03,8.456399609999999266e-06
2.219104769999999917e+03,1.317542000000000065e-05
2.219200130000000172e+03,8.701712340000000346e-06
2.220857140000000072e+03,1.142402400000000004e-05
2.222013469999999870e+03,8.787461129999999540e-06
2.222228050000000167e+03,1.069657879999999954e-05
2.223098280000000159e+03,9.563522269999999681e-06
2.223873140000000149e+03,1.173737949999999939e-05
2.224671839999999975e+03,9.072082060000000495e-06
2.224802970000000187e+03,8.237464100000000121e-06
2.225017550000000028e+03,8.800204290000000144e-06
2.225506310000000212e+03,9.032131220000000482e-06
2.226090430000000197e+03,9.105132530000000342e-06
2.227520939999999882e+03,8.862468150000000146e-06
2.227902410000000145e+03,8.665736919999999984e-06
2.228188509999999951e+03,8.146086709999999251e-06
2.229511739999999918e+03,8.841847179999999399e-06
2.229654790000000048e+03,9.581622619999999345e-06
2.230155470000000150e+03,1.029824010000000012e-05
2.230846880000000056e+03,9.173458930000000230e-06
2.231037620000000061e+03,9.308184769999999688e-06
2.231538300000000163e+03,9.150750300000000254e-06
2.231872080000000096e+03,1.033915739999999967e-05
2.232015130000000227e+03,8.224178070000000247e-06
2.232420439999999871e+03,1.235685540000000022e-05
2.233791349999999966e+03,1.023670649999999919e-05
2.234387400000000071e+03,1.038935979999999987e-05
2.235651019999999789e+03,8.416289769999999311e-06
2.237081529999999930e+03,8.421435679999999367e-06
2.237284180000000106e+03,8.615973820000000501e-06
2.237510679999999866e+03,8.233399570000000578e-06
2.238082890000000134e+03,1.065852249999999956e-05
2.238178249999999935e+03,1.125622459999999935e-05
2.239453790000000026e+03,9.007661439999999208e-06
2.239620690000000195e+03,9.827345420000000773e-06
2.240025999999999840e+03,9.144493169999999861e-06
2.240216730000000098e+03,8.652168040000000041e-06
2.241921420000000126e+03,1.079724490000000039e-05
2.242434020000000146e+03,1.036486899999999985e-05
2.242779730000000200e+03,1.121414370000000047e-05
2.244520190000000184e+03,8.468501379999999820e-06
2.244830129999999826e+03,1.045655989999999977e-05
2.245211600000000089e+03,1.040873249999999970e-05
2.245318890000000010e+03,1.002082929999999982e-05
2.245748039999999946e+03,1.412024879999999992e-05
2.246570589999999811e+03,1.343254339999999960e-05
