freq,cluster
3622.74647,25
6429.02851,9
7329.21362,14
7247.22147,4
6737.113,4
4750.46635,20
3574.28789,3
4360.497,15
6931.32877,0
4668.4742,4
4702.05545,12
7010.47182,2
3594.02895,2
6489.9087,16
4351.60398,3
6339.62154,30
7171.45205,2
6585.22844,28
3748.82221,3
3199.57733,4
6250.15497,16
7354.91514,6
4913.07974,6
5896.25835,17
5547.24932,2
6557.98912,0
6049.77608,7
7406.65197,7
5565.86981,19
5562.9611,6
7963.26399,1
5030.04789,0
5447.24464,4
6198.63272,0
6445.72973,23
4735.56519,25
7033.39577,1
3575.2058,7
7365.60822,0
5777.9789,33
6936.13291,0
3795.15886,16
3685.92739,4
4736.98378,3
5626.67847,5
6889.11676,7
6123.99578,9
7034.51633,1
4908.56171,2
5398.85759,0
6280.64871,21
3704.19025,0
4855.59702,32
7022.61925,6
6729.92468,5
4006.73151,5
6389.90402,25
5210.57844,20
6040.91883,21
6565.8927,0
4906.98814,7
4687.05893,6
5996.96636,31
7886.13558,7
6564.3549,38
6869.28034,5
6981.52781,2
7225.7638,3
7422.98365,
3704.77438,11
6564.45026,30
6465.5304,4
5623.23332,7
4678.16591,1
4140.87772,4
7482.27835,1
4451.87092,2
6418.47849,17
4433.47692,4
6468.57023,22
4709.7683,18
5495.72706,0
6459.62954,27
6329.16689,8
6717.56268,24
4451.75171,1
7034.95741,1
6702.30389,5
3594.01703,5
3990.90052,4
7226.21679,3
3701.75838,10
5722.12934,30
4494.2379,2
6922.70994,30
6970.76321,39
6793.29634,17
6527.7338,2
5826.92623,1
2649.37878,1
5588.67455,1
2812.50477,3
6626.62983,30
7036.38792,8
5556.49996,1
6755.69773,3
6717.6342,24
3251.94597,3
5700.91009,0
3118.97993,1
6168.40124,34
3688.8957,15
2955.32942,8
5505.44262,
3676.95093,11
6620.65744,5
5600.90542,3
6816.36333,0
7152.99845,1
4943.49003,6
6300.24672,29
4925.68016,32
3628.98111,9
6400.69246,24
4869.28225,7
7665.99178,34
6321.62094,2
6521.77334,2
5899.93,25
4984.54571,0
6406.5218,9
6432.28292,20
6570.68491,18
3620.64838,4
4659.80768,19
4477.82278,9
6945.27626,30
4735.81553,4
6931.96058,3
7406.55661,4
6124.24612,9
7605.23081,16
5251.89638,4
7127.32077,33
5488.66987,0
7107.92542,18
6722.34297,10
7959.12743,17
5752.64692,3
7679.79622,17
5512.88128,1
5795.02583,1
3088.76038,0
7034.75475,1
5468.84537,0
5365.61012,11
4971.07506,10
4421.50831,29
7355.05819,28
5092.22746,3
7229.00629,6
7253.26538,38
3087.31794,2
5459.51128,4
4444.31305,1
3107.03516,8
7866.22763,3
4057.12128,4
5380.94044,9
4735.91089,1
2901.45874,3
5578.10068,5
3614.68792,4
4537.08172,14
4925.62056,6
3014.60028,1
4708.18281,31
7496.44041,3
7355.15356,21
6610.17895,4
7541.47768,18
6396.16251,2
7950.17481,18
7414.43634,0
3723.88363,2
7679.89159,15
7279.38414,4
7224.5717,3
6775.28381,6
6925.4756,9
3125.33379,1
6722.43834,10
7036.30447,12
4388.33237,27
7420.69483,16
6288.25426,16
6968.34326,18
5063.91525,28
4493.05773,2
6435.56118,21
4858.73222,0
7171.47589,11
5769.25278,16
4418.84995,1
7241.24908,2
2121.32931,7
7959.41353,6
6570.51802,30
6168.63966,37
5537.40263,4
7095.96872,11
4713.02271,35
7208.21619,3
5998.63529,2
7394.55223,23
6540.35807,2
6722.2476,6
6018.32867,8
2433.32386,1
4552.34051,6
5802.94132,1
6537.33015,27
3125.2861,2
6259.53674,17
5968.41574,11
7368.74342,7
7041.12053,0
6256.65188,33
4478.13272,5
5556.7503,3
6673.74134,30
5242.89608,10
6390.16628,5
5710.38723,1
5554.22306,0
5475.19922,2
4860.22234,33
7195.7469,4
5488.5745,9
2939.45074,3
6754.38643,3
7041.00132,35
2499.99762,7
5672.35947,27
3190.54127,10
6432.53326,15
6528.01991,30
7021.29602,8
6757.30705,6
4837.62026,5
5969.50054,0
5948.72236,2
6591.77303,13
7405.36451,0
7329.2613,19
3906.72684,6
7305.46713,16
4736.14931,1
3703.60613,28
5387.22277,20
5468.72616,0
5828.54748,6
6469.13052,26
6978.78599,
7365.72742,2
5461.40671,1
4735.72016,1
6062.3765,9
3125.23842,3
5318.5463,0
7010.48374,7
6974.36333,4
6525.01583,14
7018.38732,25
5588.80568,7
4635.81085,3
6866.57429,23
