-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 17
slope 7.105074869146007
intercept 0.0
r2 0.9821153696128315
arctan 1.4309703007415433
n_points 46

x y
2.88262505e-05 1.71749192e-04
2.77783947e-05 1.77200901e-04
2.90538353e-05 1.51835019e-04
7.93251455e-05 5.02764957e-04
3.95647932e-05 3.20916397e-04
2.42753721e-05 1.26867880e-04
1.14716042e-04 8.32706744e-04
1.87315461e-04 1.25744747e-03
1.70110368e-04 1.26499707e-03
1.91966595e-04 1.13324976e-03
3.90681823e-05 1.92279844e-04
2.98457329e-05 1.59431590e-04
6.40186385e-05 4.28479880e-04
1.31045745e-04 9.83079847e-04
4.61099287e-05 3.70186361e-04
4.55095633e-05 3.17914045e-04
3.50340506e-05 2.23304489e-04
5.39271051e-05 2.77830018e-04
1.51012143e-04 9.27530699e-04
9.41687390e-04 7.36306139e-03
5.91881925e-05 3.38313256e-04
6.22070589e-05 3.26108054e-04
3.26599499e-05 1.83118170e-04
3.07729416e-05 1.85492839e-04
3.40854900e-05 1.83498484e-04
3.32195087e-05 1.73111745e-04
5.64207810e-05 3.05556119e-04
1.28633403e-04 6.71576211e-04
1.08768082e-04 6.34584874e-04
8.00138785e-05 6.50314067e-04
9.02472243e-05 5.91413936e-04
7.62274701e-05 5.53223307e-04
2.06736061e-04 1.19721932e-03
1.78467366e-04 8.84430446e-04
2.19955432e-05 1.23928880e-04
2.55079771e-05 1.28807051e-04
3.06805357e-05 1.99129698e-04
3.16156281e-05 1.83317670e-04
1.09590777e-04 8.30867856e-04
6.28189497e-04 4.22841075e-03
4.46923157e-04 2.69176744e-03
3.47526364e-05 2.68177089e-04
5.21489570e-05 4.18607420e-04
2.57449138e-05 1.90986683e-04
2.31819790e-05 1.26110059e-04
2.40563327e-05 1.22400130e-04
