-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 23
slope 0.32695665445761396
intercept 0.0
r2 0.9999877442888009
arctan 0.31600060698570326
n_points 14

x y
1.02809165e-03 3.33311271e-04
1.48146027e-04 4.80414893e-05
5.09864316e-04 1.65618574e-04
2.90009716e-04 9.54769169e-05
5.62207702e-05 1.85072041e-05
5.42676043e-05 1.77279096e-05
3.44422918e-03 1.12606811e-03
1.57631511e-03 5.17672472e-04
6.68555544e-05 2.18168513e-05
1.06600202e-04 3.49417861e-05
6.18879655e-05 2.02006019e-05
6.50668619e-05 2.10766428e-05
4.77879649e-05 1.55645329e-05
3.15954562e-04 1.02955042e-04
