-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 11
slope 1.5534931602302693
intercept 0.0
r2 0.9999488869696712
arctan 0.9988551976238433
n_points 133

x y
2.16222461e-05 3.41848660e-05
2.52087503e-05 4.19513563e-05
1.16957323e-04 1.88390233e-04
4.94750048e-05 7.53686015e-05
3.16934071e-05 4.55861195e-05
2.33376268e-05 3.50109386e-05
1.10755636e-04 1.61289012e-04
1.98333533e-05 3.11629131e-05
2.44253736e-05 3.65221759e-05
3.55117604e-05 5.23494852e-05
5.75247438e-05 8.30454007e-05
9.27393689e-05 1.34221370e-04
1.98082474e-05 2.88629350e-05
2.06200183e-05 3.03577881e-05
2.12939731e-05 3.12474236e-05
2.56825097e-03 3.72873947e-03
2.74142654e-05 4.53485555e-05
7.80351298e-05 1.22666351e-04
2.44451430e-05 3.75053243e-05
1.06811243e-04 1.53097551e-04
4.92829170e-04 7.88785018e-04
5.94260250e-04 9.75446924e-04
3.05745074e-05 4.40468238e-05
1.12207479e-04 1.82429804e-04
1.00672419e-03 1.44724235e-03
9.60368231e-05 1.39899910e-04
9.71999574e-04 1.64268150e-03
1.82610980e-04 2.91524686e-04
2.82203545e-05 4.34312289e-05
2.60719688e-05 4.06828968e-05
6.48500344e-05 1.00634267e-04
3.93519413e-05 6.65427105e-05
6.84016004e-05 1.06259547e-04
5.91175014e-05 1.01081329e-04
2.28913234e-05 3.86193535e-05
1.27280246e-01 1.97528482e-01
1.97244802e-05 3.07749100e-05
4.24631134e-02 6.68493176e-02
2.39607787e-05 3.76512569e-05
5.70283426e-04 8.49110400e-04
2.97693359e-05 4.40611888e-05
8.28679992e-04 1.22635997e-03
5.07339475e-05 8.64999449e-05
2.87286588e-05 4.90734115e-05
2.97133456e-04 5.04497561e-04
1.01088630e-04 1.68590916e-04
5.15728808e-05 8.76906841e-05
4.98895336e-05 7.43961001e-05
4.46343072e-04 7.06586332e-04
5.91920460e-04 8.72297055e-04
2.59695638e-05 4.42623378e-05
4.02036054e-05 6.24781918e-05
7.21169177e-05 1.13286247e-04
9.94637260e-05 1.43504307e-04
1.21895808e-04 1.84687508e-04
2.86683949e-05 4.53451583e-05
1.32797864e-04 2.13867122e-04
4.32214401e-05 6.50283475e-05
4.02951898e-05 6.78788377e-05
6.33372862e-05 9.54738215e-05
4.01985355e-05 6.65846444e-05
3.94806418e-05 6.63461012e-05
1.18274718e-04 1.70695497e-04
4.06572510e-05 6.17996288e-05
4.01094810e-05 6.18965830e-05
1.36082617e-04 2.23973844e-04
2.62312209e-05 4.03838317e-05
1.22815197e-04 2.09199794e-04
1.21020552e-04 1.81646271e-04
1.11449979e-03 1.80103760e-03
1.10911271e-03 1.80592908e-03
1.69276912e-03 2.48117474e-03
2.66285672e-05 4.15638670e-05
6.21950964e-05 9.80289631e-05
3.89058813e-05 5.94244402e-05
2.87741846e-05 4.31415766e-05
2.09937812e-05 3.32209718e-05
2.31655312e-05 3.80289691e-05
2.36143033e-05 3.77150222e-05
4.82545990e-05 7.82851454e-05
6.66889594e-04 9.57565108e-04
7.58858255e-05 1.09313656e-04
5.79726478e-04 9.08296011e-04
5.91780271e-04 9.15964687e-04
4.89898486e-04 7.81101072e-04
3.13778273e-05 4.73905690e-05
5.38728121e-05 9.04592271e-05
4.26417779e-05 6.91027295e-05
4.60318293e-04 7.42065089e-04
3.29605650e-04 4.93206108e-04
5.23274215e-04 8.05823196e-04
4.47066884e-05 7.56934066e-05
2.14816397e-05 3.32370974e-05
7.71954133e-04 1.14201005e-03
5.00841851e-05 8.47781653e-05
5.00399988e-05 8.45313393e-05
4.99461903e-05 8.47961205e-05
2.02328321e-05 3.06033297e-05
7.78871401e-05 1.24696289e-04
7.30230347e-05 1.13005695e-04
6.86766597e-05 1.03582785e-04
2.25692519e-05 3.50111127e-05
4.65769875e-05 7.24053807e-05
4.74027853e-05 7.13407180e-05
1.88246282e-04 3.14205047e-04
1.94127624e-04 3.09328827e-04
5.09258317e-05 7.34440435e-05
2.13778315e-05 3.64734371e-05
4.48937107e-04 6.82837147e-04
4.94166386e-05 7.47356645e-05
2.89056496e-04 4.78233923e-04
4.61103114e-05 6.85111813e-05
4.65287563e-05 7.84684436e-05
2.04578736e-05 2.93402402e-05
2.49689657e-05 3.70198088e-05
2.64840361e-05 4.08355459e-05
1.74942838e-04 2.73418632e-04
1.89547320e-04 2.77956195e-04
8.96596627e-05 1.35055720e-04
1.01012787e-02 1.45899361e-02
4.20771524e-05 6.72336173e-05
4.51385762e-05 7.09860912e-05
1.25684623e-04 2.14046377e-04
2.37663081e-05 3.65290980e-05
3.54840773e-05 5.36861838e-05
2.13140804e-05 3.49643224e-05
6.44444170e-05 1.02000580e-04
6.37615071e-05 9.14203295e-05
1.37098168e-04 2.13163676e-04
3.92027824e-05 5.82906309e-05
3.11516216e-05 4.88712556e-05
3.94180748e-05 5.77878852e-05
2.42783259e-04 3.99846596e-04
