freq,int_doh,int_d2o,cluster
6000.18333333,0.00002415,0.00001849,3
6001.35000000,0.00002407,0.00002658,7
6005.85000000,0.00027377,0.00015668,1
6010.00000000,0.00056420,0.00034144,1
6015.61666667,0.00039766,0.00033186,5
6016.68333333,0.00003071,0.00001197,0
6020.00000000,0.00259532,0.00175943,8
6025.00000000,0.00073451,0.00047144,8
6025.40000000,0.00004064,0.00007702,16
6026.15833333,0.00007844,0.00008373,7
6030.00000000,0.00032098,0.00023357,3
6035.00000000,0.00002771,0.00001216,2
6040.00000000,0.00403289,0.00283083,3
6044.93333333,0.00007194,0.00006566,5
6050.00000000,0.00241847,0.00082717,0
6054.68333333,0.00106293,0.00063176,1
6055.00000000,0.00002162,0.00003418,11
6060.00000000,0.00478260,0.00341102,3
6064.44166667,0.00028717,0.00027222,5
6065.00000000,0.00004672,0.00002360,2
6070.00000000,0.00036023,0.00018960,20
6074.21666667,0.00004654,0.00009055,13
6075.00000000,0.00034378,0.00023461,8
6079.09166667,0.00004210,0.00003398,3
6080.00000000,0.00313977,0.00262377,5
6082.10000000,0.00004949,0.00004920,7
6085.00000000,0.00002902,0.00002024,3
6088.86666667,0.00002111,0.00002456,24
6090.00000000,0.00049111,0.00025089,2
6093.75000000,0.00026656,0.00020144,3
6095.00000000,0.00004363,0.00004300,7
6100.00000000,0.00296149,0.00045210,25
6103.51666667,0.00036815,0.00026591,3
6103.65000000,0.00002143,0.00001830,5
6104.99166667,0.00002765,0.00001590,1
6110.00000000,0.00020176,0.00018434,5
6113.26666667,0.00015660,0.00014755,5
6113.27500000,0.00015655,0.00014946,5
6115.00000000,0.00009503,0.00004573,2
6116.74166667,0.00002388,0.00004828,13
6120.00000000,0.00166872,0.00099520,1
6120.71666667,0.00014692,0.00006709,2
6120.74166667,0.00016279,0.00007638,2
6123.04166667,0.00004941,0.00010272,13
6125.00000000,0.00102809,0.00033331,23
6127.92500000,0.00002392,0.00001258,20
6127.94166667,0.00002281,0.00001307,1
6129.75833333,0.00011445,0.00005273,2
6129.77500000,0.00011869,0.00005986,2
6130.00000000,0.00032381,0.00010809,0
6132.80000000,0.00004787,0.00003919,3
6134.80833333,0.00007401,0.00005847,3
6135.00000000,0.00005058,0.00004188,5
6136.09166667,0.00093155,0.00071014,3
6140.00000000,0.00176008,0.00134342,3
6141.35000000,0.00011666,0.00007733,8
6141.38333333,0.00009858,0.00006778,8
6142.59166667,0.00004540,0.00004076,5
6150.00000000,0.00161896,0.00098355,1
6150.13333333,0.00003887,0.00002465,1
6150.17500000,0.00004303,0.00002748,8
6152.35000000,0.00010059,0.00009083,5
6155.00000000,0.00002521,0.00004195,11
6155.32500000,0.00008551,0.00002909,0
6155.33333333,0.00008584,0.00002886,0
6160.00000000,0.00043384,0.00030314,3
6162.10833333,0.00005796,0.00004715,3
6164.77500000,0.00011696,0.00018839,11
6165.00000000,0.00002694,0.00001630,1
6167.31666667,0.00007914,0.00008071,7
6170.00000000,0.00017115,0.00009160,1
6171.87500000,0.00004948,0.00007537,11
6175.00000000,0.00013732,0.00041619,12
6180.00000000,0.00020715,0.00026115,9
6183.32500000,0.00007933,0.00004956,1
6183.33333333,0.00008000,0.00004992,1
6187.40833333,0.00002315,0.00002404,7
6187.56666667,0.00002409,0.00002406,7
6190.00833333,0.00003169,0.00004559,11
6191.40000000,0.00004853,0.00003451,3
6200.00000000,0.00238999,0.00086289,0
6201.17500000,0.00011048,0.00007553,8
6205.00000000,0.00004518,0.00001441,4
6210.00000000,0.00005057,0.00002878,1
6210.95833333,0.00005849,0.00002619,2
6220.00000000,0.00034638,0.00019439,1
6220.70000000,0.00002334,0.00003501,11
6225.00000000,0.00011076,0.00016129,11
6226.08333333,0.00004146,0.00002905,3
6230.00000000,0.00019093,0.00015131,3
6230.65833333,0.00068343,0.00036995,1
6230.67500000,0.00066808,0.00035819,1
6240.00000000,0.00026748,0.00005049,6
6240.22500000,0.00004769,0.00003786,3
6240.24166667,0.00004738,0.00003682,3
6240.46666667,0.00042490,0.00072733,16
6240.47500000,0.00042485,0.00072999,16
6245.00833333,0.00002998,0.00004050,9
6248.96666667,0.00002337,0.00001721,3
6249.20833333,0.00001983,0.00003116,11
6249.25833333,0.00002542,0.00002198,5
6249.35833333,0.00003268,0.00002514,3
6249.40833333,0.00002034,0.00001445,3
6249.45833333,0.00003258,0.00002665,3
6249.50833333,0.00004911,0.00002637,1
6249.55000000,0.00002612,0.00002968,7
6249.60000000,0.00006194,0.00003914,1
6249.64166667,0.00003868,0.00003880,7
6249.69166667,0.00006858,0.00005542,3
6249.73333333,0.00009663,0.00006771,3
6249.80833333,0.00013802,0.00010836,3
6249.84166667,0.00025389,0.00021170,5
6250.00000000,0.52471541,0.42579040,3
6250.19166667,0.00015405,0.00011932,3
6250.26666667,0.00011233,0.00008528,3
6250.31666667,0.00007126,0.00003638,2
6250.35833333,0.00004391,0.00004859,7
6250.40000000,0.00006974,0.00003931,1
6250.49166667,0.00005358,0.00002826,20
6250.59166667,0.00002126,0.00001426,8
6250.64166667,0.00004156,0.00002845,8
6250.73333333,0.00002706,0.00001398,2
6250.79166667,0.00002219,0.00003045,9
6250.94166667,0.00002569,0.00001374,1
6251.18333333,0.00002650,0.00001598,1
6251.48333333,0.00002663,0.00002249,5
6251.58333333,0.00002670,0.00002168,3
6259.53333333,0.00014390,0.00005229,0
6259.76666667,0.00006296,0.00004986,3
6259.77500000,0.00006506,0.00004907,3
6260.00000000,0.00030845,0.00006064,6
6269.32500000,0.00083549,0.00048782,1
6269.33333333,0.00085489,0.00049046,1
6269.51666667,0.00002592,0.00003450,9
6269.53333333,0.00002443,0.00003652,11
6270.00000000,0.00013756,0.00013424,21
6275.00000000,0.00004034,0.00005540,9
6280.00000000,0.00041449,0.00027342,8
6285.00000000,0.00003155,0.00002681,5
6289.06666667,0.00004901,0.00004508,5
6289.07500000,0.00004806,0.00004447,5
6290.00000000,0.00010313,0.00004245,0
6294.99166667,0.00002325,0.00001610,8
6298.82500000,0.00012140,0.00008859,3
6298.83333333,0.00012282,0.00008962,3
6300.00000000,0.00491913,0.00296682,1
6305.00000000,0.00006631,0.00003323,2
6308.60833333,0.00005603,0.00005079,5
6310.00000000,0.00016685,0.00010083,1
6315.41666667,0.00043391,0.00038736,5
6320.00000000,0.00027127,0.00034949,9
6323.22500000,0.00003667,0.00001283,0
6325.00000000,0.00079028,0.00052396,8
6328.12500000,0.00003551,0.00005235,11
6330.00000000,0.00007154,0.00013856,13
6332.68333333,0.00005752,0.00008305,11
6335.22500000,0.00009274,0.00013422,11
6337.90000000,0.00006132,0.00005377,5
6340.00000000,0.00034421,0.00010082,4
6344.66666667,0.00020372,0.00010587,2
6345.00000000,0.00007285,0.00004602,1
6347.66666667,0.00009966,0.00008044,3
6347.67500000,0.00009829,0.00007912,3
6349.83333333,0.00005833,0.00005137,5
6350.00000000,0.00283419,0.00276020,21
6350.26666667,0.00002399,0.00001552,8
6350.29166667,0.00002633,0.00001388,20
6350.61666667,0.00002317,0.00002185,5
6350.64166667,0.00002246,0.00002285,7
6356.74166667,0.00004842,0.00004402,5
6357.42500000,0.00005466,0.00004282,3
6357.43333333,0.00005401,0.00004224,3
6358.65000000,0.00010524,0.00005721,1
6360.00000000,0.00008521,0.00005309,1
6363.90833333,0.00105992,0.00052213,2
6365.00000000,0.00010266,0.00002586,4
6365.19166667,0.00007445,0.00006399,5
6367.20833333,0.00452801,0.00434212,5
6370.00000000,0.00026621,0.00012880,2
6370.20000000,0.00012070,0.00002916,4
6372.05833333,0.00002934,0.00002285,3
6372.07500000,0.00003163,0.00002169,8
6375.00000000,0.00164836,0.00072932,2
6375.16666667,0.00003752,0.00001628,2
6379.23333333,0.00016136,0.00008733,1
6380.00000000,0.00083045,0.00060867,3
6385.00000000,0.00022627,0.00010425,2
6386.72500000,0.00009354,0.00008433,5
6390.00000000,0.00005859,0.00010937,16
6394.64166667,0.00002534,0.00002186,5
6395.00000000,0.00002816,0.00001561,1
6396.35000000,0.00002722,0.00001849,8
6396.48333333,0.00032255,0.00025339,3
6399.46666667,0.00005040,0.00004146,3
6400.00000000,0.00142256,0.00024209,6
6403.50833333,0.00033864,0.00027600,3
6405.00000000,0.00005815,0.00006771,24
6406.25833333,0.00011143,0.00008864,3
6410.00000000,0.00020813,0.00019024,5
6417.90000000,0.00003525,0.00004216,9
6420.00000000,0.00110235,0.00082741,3
6420.90000000,0.00002899,0.00003176,7
6425.00000000,0.00126245,0.00046339,0
6430.00000000,0.00031679,0.00018788,1
6433.80833333,0.00004042,0.00004878,9
6434.19166667,0.00070167,0.00001911,14
6435.55833333,0.00011910,0.00010455,5
6440.00000000,0.00355678,0.00262340,3
6441.71666667,0.00004225,0.00004467,7
6445.00000000,0.00008279,0.00002969,0
6445.31666667,0.00052733,0.00042963,3
6450.00000000,0.00290136,0.00173282,1
6451.03333333,0.00002038,0.00001868,5
6455.05833333,0.00003608,0.00001774,2
6455.08333333,0.00003173,0.00002002,1
6460.00000000,0.00315702,0.00234641,3
6469.70000000,0.00002289,0.00001562,8
6470.00000000,0.00033896,0.00019922,1
6470.58333333,0.00008096,0.00009486,24
6472.00833333,0.00002937,0.00006631,13
6473.85000000,0.00005877,0.00005180,5
6475.00000000,0.00020015,0.00021257,7
6475.72500000,0.00002587,0.00007201,12
6477.10000000,0.00002523,0.00001796,3
6480.00000000,0.00135374,0.00121471,5
6480.49166667,0.00002398,0.00003222,9
6483.33333333,0.00003069,0.00002433,3
6484.37500000,0.00007890,0.00005685,3
6485.00000000,0.00004491,0.00005882,9
6485.16666667,0.00002467,0.00001277,2
6490.00000000,0.00079447,0.00062423,3
6493.97500000,0.00007906,0.00006196,3
6494.14166667,0.00013887,0.00010585,3
6494.59166667,0.00009733,0.00008366,5
6497.79166667,0.00002118,0.00002443,7
6500.00000000,0.00056984,0.00130551,13
6503.90000000,0.00002691,0.00001640,1
6504.55833333,0.00016460,0.00009537,1
6505.00000000,0.00004172,0.00005341,9
6506.22500000,0.00002254,0.00002269,7
6506.26666667,0.00002016,0.00002562,9
6506.91666667,0.00005888,0.00005690,5
6510.00000000,0.00044573,0.00036567,3
6510.42500000,0.00052253,0.00044338,5
6510.85000000,0.00003701,0.00004140,7
6512.50000000,0.00009778,0.00003803,0
6520.00000000,0.00270487,0.00222187,3
6524.01666667,0.00005408,0.00005250,5
6525.00000000,0.00079013,0.00012427,6
6528.04166667,0.00006730,0.00004842,3
6529.71666667,0.00001981,0.00002886,11
6530.00000000,0.00024449,0.00009876,0
6533.19166667,0.00004253,0.00002178,2
6540.00000000,0.00207223,0.00158495,3
6542.96666667,0.00023927,0.00018105,3
6542.97500000,0.00023777,0.00017890,3
6545.00833333,0.00003063,0.00005604,16
6547.87500000,0.00017756,0.00017800,7
6550.00000000,0.00130786,0.00051733,0
6552.72500000,0.00002415,0.00001963,3
6552.73333333,0.00002461,0.00001932,3
6555.91666667,0.00002899,0.00002766,5
6560.00000000,0.00127621,0.00095299,3
6564.21666667,0.00012174,0.00005473,2
6564.30000000,0.00015831,0.00005498,0
6564.33333333,0.00013482,0.00005159,0
6565.00833333,0.00006381,0.00001220,6
6567.82500000,0.00002883,0.00017175,17
6567.84166667,0.00002778,0.00017720,17
6570.00000000,0.00027670,0.00023139,5
6571.51666667,0.00002673,0.00004835,16
6574.17500000,0.00002382,0.00011203,27
6575.00000000,0.00020130,0.00017188,5
6580.00000000,0.00226291,0.00177333,3
6582.02500000,0.00004150,0.00002451,1
6582.03333333,0.00004091,0.00002457,1
6583.21666667,0.00003670,0.00013087,15
6585.00000000,0.00007431,0.00003256,2
6590.00000000,0.00040884,0.00012895,4
6591.79166667,0.00014231,0.00011955,5
6600.00000000,0.00405960,0.00220590,1
6601.55833333,0.00002567,0.00001657,8
6604.97500000,0.00007103,0.00003741,20
6610.00000000,0.00065471,0.00032674,2
6616.21666667,0.00002280,0.00001555,8
6620.00000000,0.00214014,0.00161849,3
