-------- Hyperameters ---------
angular threshold 0.04
Maximum n of clusters 30
Maximum iterations 10000
Angle growth 0.0
Maximum angle allowed 0.04
Min samples 2
-------- Variables ---------
population ranking 7
slope 1.0090382730329877
intercept 0.0
r2 0.9991467062860738
arctan 0.7898969388459203
n_points 225

x y
2.40672822e-05 2.65789185e-05
7.84366453e-05 8.37254492e-05
4.94855797e-05 4.91981601e-05
4.36332663e-05 4.30022955e-05
7.91367805e-05 8.07119007e-05
2.31486143e-05 2.40366859e-05
2.40878204e-05 2.40641418e-05
2.61201224e-05 2.96819740e-05
3.86773110e-05 3.88032139e-05
4.39077587e-05 4.85879803e-05
2.24645769e-05 2.28515844e-05
2.89861228e-05 3.17603297e-05
4.22527100e-05 4.46722045e-05
2.00149295e-04 2.12567911e-04
2.11767081e-05 2.44259130e-05
2.25430877e-05 2.26907183e-05
3.70067757e-05 4.14037189e-05
1.77557675e-04 1.77995305e-04
1.56203112e-04 1.58567208e-04
2.32358035e-05 2.48426828e-05
8.66771549e-05 8.74384988e-05
2.53787632e-04 2.75680480e-04
2.08009060e-05 2.18625409e-05
6.35955706e-04 6.54438755e-04
4.04591939e-05 4.66736631e-05
2.57098352e-05 2.63027008e-05
3.24838133e-05 3.40896573e-05
3.61506198e-05 3.62417004e-05
3.51086470e-05 3.54022388e-05
8.96671933e-04 9.92122585e-04
1.56185861e-03 1.67130690e-03
3.71255339e-05 3.87958944e-05
1.31937371e-04 1.32113090e-04
1.08057267e-04 1.10033863e-04
2.61312428e-04 2.73198727e-04
1.03417198e-03 1.12012133e-03
5.30646129e-05 5.44724297e-05
5.23686051e-05 5.48187544e-05
1.71165454e-04 1.87457139e-04
4.19820363e-04 4.60799806e-04
3.02300602e-05 3.19455909e-05
2.40091234e-05 2.47157841e-05
2.38120610e-04 2.72920150e-04
6.56387643e-04 6.77101883e-04
4.79760062e-03 4.75302925e-03
4.19988040e-05 4.79063700e-05
2.27377905e-05 2.49022622e-05
1.05776661e-03 1.15501160e-03
2.31403452e-04 2.38533785e-04
1.99185979e-04 1.98743724e-04
8.04683836e-05 9.02541482e-05
2.90747299e-05 3.23071630e-05
3.82050431e-05 4.03782414e-05
6.02780970e-05 5.96347396e-05
7.35739501e-05 7.66583414e-05
1.61795184e-04 1.69551018e-04
5.07773661e-03 5.16549862e-03
6.82582021e-03 7.18962816e-03
2.56617446e-05 2.72719671e-05
2.53995821e-05 2.72874894e-05
1.15146760e-03 1.17611209e-03
2.19016147e-04 2.33890884e-04
2.88638987e-05 3.20946616e-05
2.22026655e-03 2.26389116e-03
1.49320256e-02 1.48414767e-02
2.04676725e-05 2.27182157e-05
1.29246257e-04 1.27520089e-04
2.80740372e-05 2.88260319e-05
4.68669783e-05 4.91222304e-05
2.00690560e-05 2.20724425e-05
7.02886564e-05 7.64442932e-05
4.00369061e-05 4.06044991e-05
1.97459458e-05 2.04701451e-05
6.63179245e-05 6.72411564e-05
7.01137819e-04 7.96035040e-04
4.49733175e-05 4.52862515e-05
8.71259053e-04 8.93154444e-04
9.19845073e-04 9.61375153e-04
3.56267425e-05 3.56836669e-05
3.08663771e-05 3.52620939e-05
7.30331536e-05 7.73307245e-05
4.22294315e-05 4.70886584e-05
2.98077990e-05 3.03044643e-05
7.32913611e-05 7.60143946e-05
4.59347020e-05 5.04705973e-05
2.11279564e-04 2.37081706e-04
6.73342861e-04 6.81020436e-04
1.80114213e-04 1.85496431e-04
6.32653364e-04 6.67874003e-04
1.04822101e-04 1.10971779e-04
6.92857820e-04 7.80163651e-04
7.19686276e-05 7.93256832e-05
1.62116309e-04 1.77368678e-04
3.19907172e-05 3.47801929e-05
1.51472720e-04 1.49645889e-04
5.65305127e-04 5.68575122e-04
4.94540989e-05 5.42157410e-05
4.97278858e-05 5.47680433e-05
2.25139990e-05 2.32634526e-05
2.34073992e-05 2.47762914e-05
3.11757132e-04 3.54433982e-04
3.29899068e-05 3.48834073e-05
3.02666118e-05 3.06039834e-05
9.35649150e-05 1.03515302e-04
5.69874855e-05 6.11647624e-05
2.35407230e-05 2.38206788e-05
2.46783391e-04 2.84098388e-04
1.35699867e-04 1.45199879e-04
2.60596452e-05 2.89521383e-05
4.48567168e-05 4.45097031e-05
1.64000285e-04 1.81630758e-04
2.09757055e-04 2.31146515e-04
6.00135107e-05 6.87090342e-05
2.75098424e-04 2.79592322e-04
3.11453063e-05 3.36728769e-05
1.09330171e-04 1.14523261e-04
3.68175585e-04 4.21695986e-04
1.30485100e-04 1.44432845e-04
4.57335916e-05 4.81816169e-05
2.97034593e-04 3.31989715e-04
1.84207475e-04 1.81595065e-04
1.01437847e-04 1.12006216e-04
2.84309086e-05 3.06705116e-05
4.08427008e-05 4.03307380e-05
1.46822948e-04 1.49195645e-04
1.17272273e-04 1.30505926e-04
1.42048335e-04 1.53403062e-04
1.05792693e-04 1.22043287e-04
2.98236318e-04 3.03254401e-04
1.04652090e-04 1.09720343e-04
